"description","tags","project","time_id","start","end"
"Working on how to report stuff for Seth",NA,"5c828defb079873c04ea0b4c","5c828e04b079873c04ea0b8f",2019-03-08 15:45:08,2019-03-08 17:37:35
"programming help","5c7d737fb079877a78ba28bb","5c7e9c6cb079872e4b9b7f96","5c828706b079873c04e9e70f",2019-03-08 15:15:17,2019-03-08 15:38:16
"R questions with Matt","5c7d737fb079877a78ba28bb","5c7d7227b079877a78ba2024","5c827f7db079873c04e9bc83",2019-03-08 14:43:09,2019-03-08 15:03:29
NA,"5c8000d5b079873c04e0ba84","5c7fdac7b079873c04dfd243","5c8279edb079873c04e99ca4",2019-03-08 14:19:25,2019-03-08 14:42:46
"Work with Cria","5c7d94c6b079877a78bad7b6","5c7d8180b079877a78ba7572","5c8195e7b079873c04e6d186",2019-03-07 22:06:31,2019-03-07 22:27:50
"SQL to drop assigned","5c7d94c6b079877a78bad7b6","5c7d8180b079877a78ba7572","5c8189deb079873c04e6a943",2019-03-07 21:15:10,2019-03-07 21:24:12
"SQL to drop assigned","5c7d94c6b079877a78bad7b6","5c7d8180b079877a78ba7572","5c8188f7b079873c04e6a623",2019-03-07 21:11:18,2019-03-07 21:15:01
"Statistics meeting with Sophia (GLMS)","5c7d737fb079877a78ba28bb","5c8187d0b079873c04e6a244","5c8187feb079873c04e6a2c5",2019-03-07 20:00:02,2019-03-07 21:07:02
NA,"5c7d737fb079877a78ba28bb","5c7e9c6cb079872e4b9b7f96","5c81401db079873c04e5688f",2019-03-07 16:00:29,2019-03-07 16:53:19
NA,"5c8000d5b079873c04e0ba84","5c7fdac7b079873c04dfd243","5c813d14b079873c04e55694",2019-03-07 15:41:32,2019-03-07 16:00:02
NA,"5c7d7388b079877a78ba28e8","5c801fa4b079873c04e1398c","5c812877b079873c04e4d1c4",2019-03-07 14:19:36,2019-03-07 15:41:20
NA,"5c7d7388b079877a78ba28e8","5c801fa4b079873c04e1398c","5c80451ab079873c04e1bc98",2019-03-06 22:09:29,2019-03-06 23:04:55
