"start","end"
2018-12-24,2019-01-06
2019-01-07,2019-01-20
2019-01-21,2019-02-03
2019-02-04,2019-02-17
2019-02-18,2019-03-03
2019-03-04,2019-03-17
2019-03-18,2019-03-31
2019-04-01,2019-04-14
2019-04-15,2019-04-28
2019-04-29,2019-05-12
2019-05-13,2019-05-26
2019-05-27,2019-06-09
2019-06-10,2019-06-23
2019-06-24,2019-07-07
2019-07-08,2019-07-21
2019-07-22,2019-08-04
2019-08-05,2019-08-18
2019-08-19,2019-09-01
2019-09-02,2019-09-15
2019-09-16,2019-09-29
2019-09-30,2019-10-13
2019-10-14,2019-10-27
2019-10-28,2019-11-10
2019-11-11,2019-11-24
2019-11-25,2019-12-08
2019-12-09,2019-12-22
