Route,Street,Lockdown Avg travel time,Lockdown # of samples,2019 Avg travel time,2019 # of samples,TT change %,2019 Free flow Travel time,Lockdown Travel time index,2019 Travel time index
51st_manor->51st_springdale,51st,73.83606557,811,81.7797619,956,-0.097135234,79.49141631,0.928855831,1.02878733
51st_springdale->51st_manor,51st,78.15909091,610,84.91304348,493,-0.079539636,76.15079365,1.026372637,1.115064458
51st_springdale->springdale_manor,Springdale,127.7592593,412,127.5555556,696,0.00159698,128.978852,0.990544243,0.988964885
51st_springdale->springdale_mlk,Springdale,74.96132597,1075,123.7701149,1670,-0.394350357,68.5610766,1.093351063,1.805253375
7th_chicon->7th_plesant_valley,7th,135.7572254,615,159.952381,1126,-0.151264741,107.6645022,1.260928372,1.485655697
7th_chicon->7th_springdale,7th,416.2886598,159,331.5109489,382,0.255731255,614.2183908,0.677753493,0.539728139
7th_plesant_valley->7th_chicon,7th,125.7884615,379,135.7055215,586,-0.073077792,117.1209503,1.074004789,1.158678452
7th_plesant_valley->7th_springdale,7th,58.96703297,836,58.75,1208,0.003694178,55.8817734,1.055210481,1.051326693
7th_springdale->7th_chicon,7th,297.2117647,137,239,295,0.243563869,243.5781818,1.220190423,0.981204467
7th_springdale->7th_plesant_valley,7th,68.86904762,440,73.19607843,806,-0.05911561,64.73085339,1.063929239,1.130775737
anderson_mill_bethany->anderson_mill_spicewood_parkway,Anderson Mill,71.38461538,1058,79.7816092,1712,-0.105249742,93.23178808,0.7656682,0.855733981
anderson_mill_bethany->anderson_mill_us183,Anderson Mill,64.83928571,565,107.5,1023,-0.396843854,74.09734513,0.87505545,1.45079422
anderson_mill_spicewood_parkway->anderson_mill_bethany,Anderson Mill,86.69021739,1137,109.7572254,1518,-0.210163914,65.742,1.318642837,1.669514548
anderson_mill_spicewood_parkway->rm620_anderson_mill,Anderson Mill,124.3278689,1002,319.6896552,1409,-0.611098242,128.2918367,0.969101948,2.491893976
anderson_mill_us183->anderson_mill_bethany,Anderson Mill,43.02185792,1033,46.00578035,1677,-0.064859729,46.91958763,0.916927452,0.98052397
bartonsprings_Kinney->bartonsprings_robertelee,Kinney,30.88617886,549,39.99408284,2050,-0.227731288,32.43577982,0.952225568,1.233023626
bartonsprings_robertelee->bartonsprings_Kinney,Kinney,35.74166667,576,41.71176471,1586,-0.143127439,36.63157895,0.975706418,1.138683232
burleson_emma_browning->us183_burleson,Burleson,91.41011236,748,99.70175439,1077,-0.083164455,95.11439842,0.961054413,1.048229879
burnet_45th->burnet_koenig,Burnet,205.5954198,218,359.8238994,645,-0.428622112,205.6601563,0.999685226,1.749604328
burnet_braker->burnet_us183,Burnet,171.9470588,509,259.3293413,853,-0.336954862,155.9298246,1.102720787,1.663115713
burnet_koenig->burnet_45th,Burnet,212.5067568,333,230.0925926,601,-0.076429387,184.7643678,1.150150103,1.245329905
burnet_koenig->lamar_koenig,Koenig,169.4457143,691,316.2038217,699,-0.464125027,161.4024691,1.04983347,1.959101514
burnet_us183->burnet_braker,Burnet,142.6966292,603,208.011976,1294,-0.313998011,138.4676113,1.030541567,1.502242828
cap_tx_hwy_lakewood->cap_tx_hwy_spicewood_springs_north,Loop 360,104.3693182,2111,295.4827586,2843,-0.646783729,98.39731286,1.060692768,3.002955569
cap_tx_hwy_lakewood->fm2222_loop360,Loop 360,107.92,43,149.8527132,252,-0.279826186,130.1693548,0.829073787,1.151213459
