Approvato,Cosa,APERTA / CHIUSA,Dove,Descrizione,Indirizzo,Contatti
,Sangue,,"Tutta Italia, soprattutto zone limitrofe","A causa dell’emergenza, è necessario molto sangue. Chi volesse donare, ricordi che comunque di norma vengono accettati solo persone già donatori/trici e che siano nelle condizioni di donare. Informarsi dalle AVIS/ADVS locali.
In particolare, chi ha dormito in alcune zone d’Italia non può donare per i 28 giorni successivi a causa del rischio di alcune malattie trasmesse dalle zanzare.",,
,Punti di raccolta fissi e mobili AVIS Roma,,Lazio,"La protezione civile ha espressamente chiesto di evitare di usare la via Salaria per facilitare i soccorsi, per cui i romani che vogliano donare il sangue possono andare ai seguenti indirizzi anziché recarsi a Rieti (contando che il centro trasfusionale di Rieti risulta intasato).","- Policlinico Universitario - Umberto I [anche per aferesi (separatore cellulare)]
V.le Regina Elena n. 328 (festivi: Viale del Policlinico 155)
tutti i giorni, compresi i festivi, dalle ore 7,30 alle ore 12,00 compresa la domenica
tel. 0649976418
- Ospedale Sandro Pertini [anche per aferesi (separatore cellulare)]
Via Monti Tiburtini 385
dal lunedì alla domenica dalle ore 8,00 alle ore 10,30
tel. 0641433301/1/2/3
- Ospedale S. Camillo - Forlanini [anche per aferesi (separatore cellulare)]
Padiglione Antonini
Ingressi pedonali Circonvallazione Gianicolense n.87 e via B. Ramazzini.
tutti i giorni dalle ore 8,00 alle ore 11,30 compresa la domenica
tel. 06 587054 97 /98/99
fax: 06 58705514
Per aferesi 0658705631
- Ospedale S. Giovanni - Addolorata [anche per aferesi (separatore cellulare)]
Via S.Stefano in Rotondo 5a - I piano
tutti i giorni dalle ore 8,30 alle 11,30 compresa la domenica
tel. 0677055730
- Policlinico A. Gemelli [anche per aferesi (separatore cellulare)]
L.go A. Gemelli 8 (Pineta Sacchetti)
dal lunedì al sabato dalle ore 8,00 alle ore 11,00
tel. 0630154514
- Ospedale Fatebenefratelli - Villa S.Pietro [anche per aferesi (separatore cellulare)]
Via Cassia, 600
dal lunedì al sabato dalle ore 8,00 alle ore 11,30
tel. 0633260625
- Policlinico Casilino (ex Villa Irma) Via Casilina 1040
dal lunedì al sabato dalle ore 8,00 alle ore 11,30
tel. 0623188394
- Ospedale G.B. Grassi [anche per aferesi (separatore cellulare)]
Via Passeroni, 8 - Ostia Lido
tutti i giorni dalle ore 8,00 alle 11,00 compresa la domenica
tel. 0656482150
- Ospedale S.Giovanni Evangelista Via Parrozzani 3 - Tivoli
tutti i giorni, compresi i festivi, dalle ore 8,00 alle ore 10,30
tel. 0677055730
- Ospedale S. Spirito [anche per aferesi (separatore cellulare)]
Lungotevere in Sassia 1
tutti i giorni dalle ore 8,00 alle ore 11,00 compresa la domenica
tel. 0668357039
- Ospedale S. Filippo Neri [anche per aferesi (separatore cellulare)]
Via Giovanni Martinotti, 20
tutti i giorni dalle ore 8,00 alle ore 12,00 compresa la domenica
tel. 0633062905
- Ospedale S. Andrea Via di Grottarossa 1035/1039
dal lunedì al sabato dalle ore 8,00 alle 12,00
tel. 0633775889
- Ospedale S. Eugenio P.le dell'Umanesimo, 10
Tutti i giorni, compresi i festivi, dalle 8:00 alle 11:30. 
Necessario un documento d'identità valido. 
Per i donatori è previsto il parcheggio interno.
tel. 0651001 (Centralino)","Fulvio Vicerè (Presidente):
Tel.: 366 4652629
Roberto Andrelli (Responsabile Comunicazione)
Tel.: 346 8565542"
,Info. Donazione Sangue Prato,,Prato,,,
,Sangue,,Umbria,,,
,Materiale,,Bologna,https://www.facebook.com/events/660268627458490/,,
,Materiale di prima necessità,,Ancona,Spazio Comune Heval via Macerata 22 Ancona,,
,Materiale di prima necessità,,Ancona,Casa delle Culture via Vallemiano 49 Ancona ,,
,Materiale di prima necessità,,Ancona,CRI ,,
,Materiale di prima necessità,,Finale Emilia,Centro civico IdeaAttiva di Massa Finalese,,
,Materiale di prima necessità,,Ascoli Piceno,"servono i seguenti beni:

- stoviglie di carta (bicchieri, piatti, posate e tovaglioli)
- tantissima acqua in vari formati
- cibo a lunga scadenza preconfezionato e facilmente divisibile
- materiale igiene intima
- pannolini e materiale bambini
- coperte e vestiario.

Orari di apertura capannone:
8,30 - 12,30
14,00 - 18,30","Il capannone dove consegnare la merce (gentilmente offerto dai fratelli Davide Tempera e Luigi Temperaolive Tempera ) si trova lungo la ZONA INDUSTRIALE CAMPOLUNGO, VIA MUTILATI E INVALIDI DEL LAVORO 3,
EX ALLIERI (DI FRONTE BORGIONI). È molto semplice trovarlo, subito dopo il ponte sul fiume, si supera il campo da calcio ed il cavalcavia, e c'è il capannone poco dopo.",
,Materiale di prima necessità,,Ascoli Piceno,"Dalle ore 15.30 del 24 agosto 2016 apertura di un punto di raccolta per generi prima necessità (ACQUA, TE', COPERTE, PIATTI BICCHIERI POSATE DI PLASTICA, FAZZOLETTI UMIDIFICATI) Pro terremoto. 

CRI provvedera' a distribuire.","Consegnare presso SPAZIO FUORI LUOGO-LIBERA del centro commerciale CITTÀ DELLE STELLE.
Via dei Mutilati del Lavoro, Ascoli Piceno AP",
,Materiale di prima necessità,,Rende (CS),"Raccolta di vestiario NUOVO (uomo, donna, bambino) e alimenti a lunga conservazione presso la sede del
Comitato C.da Rocchi di Rende (CS)
tutti i giorni dalle ore 16.00 alle ore 18.00
a partire dal giorno 25 agosto 2016",Comitato C.da Rocchi di Rende (CS),
,Materiale di prima necessità,,Jesi (AN),"Raccolta di PANNOLINI,ACQUA,ASSORBENTI PER ANZIANI E DONNE,CIBO IN SCATOLA, PIGIAMI,TUTE DA GINNASTICA, BAMBOLOTTI, POSATE CARTA E TOVAGLIOLI da portare presso Giardini Pubblici di Jesi OGGI dalle 16 alle 20",Gruppo Imprenditori della Vallesina,
,Materiale di prima necessità,,Roma,"il 26 dalle 11,00 e nei giorni seguenti a partire dalle 16,00:
-acqua in bottiglia
-cibo in scatola (fagioli, tonno, ecc..)
-riso, pasta
-biscotti, fette biscottate
-materiale di primo soccorso (cerotti, acqua ossigenata, ecc)
-pannolini
-coperte","Casetta Rossa via Giovanni Battista Magnaghi, 14",
,Materiale di prima necessità,,Pineto (TE),"Il Comune di Pineto, in collaborazione con gli operatori della rete del sociale, con la Caritas, il PROS e con alcuni cittadini che si sono resi disponibili, ha organizzato un punto di raccolta dei beni di prima necessità in favore delle zone terremotate. Sono richiesti:
- latte in polvere per bambini
- prodotti per celiaci(prodotti senza glutine) 
- coperte
- prodotti per l'igiene personale
Il punto di raccolta sarà attivo dal 25 agosto al 28 agosto nei seguenti orari:
10.00-13.00
17.00-20.00","Locali dell'oratorio della chiesa di Sant'Agnese, ingresso lato piazza della libertà","Per eventuali necessità è possibile contattare, negli orari di apertura, la dott.ssa Serena Bellante 3485126750"
,Materiale di prima necessità,,"
Terni","piena disponibilità a collaborare nel fornire tutto ciò di cui si necessita per prima emergenza:
- Pannolini per bambini
- Pannoloni per anziani 
- Prodotti per detergenza e igiene intima.
","Viale Porta Sant'Angelo 1/c
05100 Terni (TE)","07441981283 
9.00-12.30 | 17.00 - 20.00 pagina Facebook @asciuttissimi.terni.
Email: terni@asciuttissimi.it"
,Materiale per animali domestici,,Prato,"Raccolta di cibo per cani e gatti, guinzagli, antiparassitari, trasportini","Via Argine del Calice, 4/A (Località Casale, accanto al depuratore) - 59100 Prato PO",3475568834 3394706867 3453220066 
,Beni alimentari non deperibili,,San Benedetto dei Tronto,"Scatolame, pasta, prodotti per l’infanzia","Sede del Gruppo Comunale di Protezione civile, ubicata sul lato sud del Palazzetto dello Sport in viale dello Sport, che resta aperta ininterrottamente dalle 8 alle 20 ",Tel.  0735781486 indirizzo di posta elettronica info@protezionecivilesbt.it
,Materiale di prima necessità,,Firenze,Le Protezioni civili del Comune e della Città metropolitana si sono mobilitate anche per raccogliere i beni di prima necessità (cibo e prodotti per l'igiene personale) che servono ai terremotati. Saranno loro poi ad occuparsi di farli arrivare a destinazione. Chi è interessato a fare una donazione dovrà contattare la Protezione civile comunale e della Metrocittá per telefono o via mail. ,,- Per comune di Firenze Tel. 0557890  Indirizzo EMail. protezionecivile@comune.fi.it     - Per città metropolitana Tel. 0552761370 Indirizzo Email protezionecivile@cittametropolitana.fi.it       Telefonate dalle 09.00 alle 19.00
,Centro di raccolta di beni di prima necessità,,Roma,"Servono urgentemente soprattutto:
- scatoloni di cartone e buste rigide 
-acqua
-materiale di primo soccorso (cerotti, acqua ossigenata, ecc)
-pannolini
-carta igienica
-rotoloni carta assorbente
-bagnoschiuma
-shampoo 
-prodotti ipoallergenici
-assorbenti
-salviette igieniche
-spazzolini
-dentifrici
-coperte
-vestiti uomo, donna, bambin*","Acrobax (ex_cinodromo, via della vasca navale 6 – Ponte Marconi)
Quando: 25 AGOSTO
Orari: dalle 10 alle 22. 
Roma",
,Centro di raccolta di beni di prima necessità,,Firenze,"acqua, prodotti per igiene personale, vestiti, abiti per bambini, scarpe da ginnastica, calzini e biancheria, coperte e pannolini","Impianto Sportivo Padovani Viale P. Paoli, 23 – Zona Campo di Marte",
,Gruppo Nereo della protezione civile di Ardea,,Ardea (RM),"cibo in scatola , secco , acqua e latte UHT. Ogni giorno verrà effettuato un viaggio",Sede di via dei Fenicotteri 6 a Tor San Lorenzo,
,Materiale di prima necessità,,Ascoli Piceno,"La raccolta di beni di prima necessità è attiva presso la sede degli Ultras 1898 in via Erasmo Mari 32 ad Ascoli Piceno dalle 18:00 alle 20:00 e dalle 21:00 alle 24:00.
Questi i beni di prima necessità richiesti:
- stoviglie di carta (bicchieri, piatti, posate, tovaglioli);
- acqua minerale;
- cibo a lunga conservazione;
- coperte e vestiti;
- pannolini e materiale per bambini;
- materiale per igiene intima.
",via Erasmo Mari 32 ad Ascoli Piceno dalle 18:00 alle 20:00 e dalle 21:00 alle 24:00,
,Materiale di Prima necessità,,Torino,"- acqua minerale; 
- cibo a lunga conservazione; 
- coperte e vestiti; 
- pannolini e materiale per bambini; 
- Materiale per igene intima.","Caffè Basaglia 
Via Mantova, 34, 10153 Torino", Macaco 3473352631 
,Materiale di Prima necessità,,Bussoleno (TO),"- acqua minerale; 
- cibo a lunga conservazione; 
- coperte e vestiti; 
- pannolini e materiale per bambini; 
- Materiale per igene intima.","Osteria La Credenza
Via Walter Fontan, 16, 10053 Bussoleno TO",Andrea 3287535300
,Materiale di Prima necessità,,Milano,"- acqua minerale; 
- cibo a lunga conservazione; 
- coperte e vestiti; 
- pannolini e materiale per bambini; 
- Materiale per igene intima;
- pannoloni per anziani.","Sala Stampa Nazionale 
via cordusio 4 Milano",02/866.860 – 867.824 – 875.557 – 875.888
,Materiale di Prima necessità,,Rieti,"Dalle 12 alle 14 e dopo le 19
- acqua minerale; 
- cibo a lunga conservazione; 
- coperte e vestiti; 
- pannolini e materiale per bambini; 
- Materiale per igene intima;
- pannoloni per anziani.","Moschea della Pace
via Nuova 34, Rieti",
,Materiale di Prima necessità,,,"Moovenda è vicina agli abitanti di Amatrice e del centro italia, per questo insieme agli amici di Ambrogio, si impegna nella raccolta dei beni di prima necessità a Roma, mettendoci a disposizione per le prossime 24 ore per il ritiro gratuito direttamente a casa vostra o in ufficio dei beni di prima necessità, che verranno portati domani a Rieti ed Amatrice.",,3381577381
,Beni prima necessità,,Amministrazione Comunale di Anguillara Sabazia,"Beni alimentari inscatolati, necessario per bambini e neonati, come pannolini, abbigliamento nuovo e coperte confezionate","Tutti i supermercati di Anguillara Sabazia e l’Ex Consorzio, in via Anguillarese, 145",
,Materiale di Prima necessità,,Catania ,"Spazio Libero CERVANTES 
dal Lunedi al Sabato dalle 16,30 alle 20,00
- acqua minerale; 
- cibo a lunga conservazione; 
- coperte e vestiti; 
- pannolini e materiale per bambini; 
- Materiale per igene intima;","Via Santa Sofia, 42 ",
,Materiale di Prima necessità,,Catania ,"Centro Duren
dal Giovedì alla Domenica dalle 20,00 alle 24,00
- acqua minerale; 
- cibo a lunga conservazione; 
- coperte e vestiti; 
- pannolini e materiale per bambini; 
- Materiale per igene intima;","Via San Gaetano, 22",
,Materiale di Prima necessità,,"
Santa Maria di Licodia (CT)","Associazione Culturale Gandalf
- acqua minerale; 
- cibo a lunga conservazione; 
- coperte e vestiti; 
- pannolini e materiale per bambini; 
- Materiale per igene intima;","Via San Gaetano, 22",391 4575221
,Materiale di Prima necessità,,Roma,"Croce Rossa Italiana di Roma
da Lun-Ven dalle 8:00 alle 20:00
- acqua minerale; 
- Piatti, tovaglioli, bicchieri, posate (in prevalenza forchette) di plastica
- cibo a lunga conservazione; 
- coperte e vestiti; 
- pannolini e materiale per bambini; 
- Materiale per igene intima;",via Bernardino Ramazzini 37 Roma,
,Materiale di Prima necessità,,Anzio (RM),"- pasta;
- pomodori;
- cibo in scatola
- latte a lunga conservazione;
- biscotti confezionati;
- farina;
- merendine;
- acqua;
- succhi di frutta;
- posate (soprattutto forchette) di plastica;
- tovaglioli;
- rotoli di carta;
PER BAMBINI
- latte in polvere;
- omogenizzati;
- pastina;
- pannolini;
- salviettine;
- creme.
PER ANZIANI
- pannoloni;
ALTRO
- assorbenti;
- dentifrici;
- saponi;
- spazzolini;
- bagno schiuma","Via di Valle Schioia, 190","Roberta Bianchi 3339788758 
Silvio Marsili 3396403704"
,Materiale di prima necessita e per tendopoli,,L'Aquila,"Il Comitato 3 e32 insieme ai centri sociali di Casematte e Asilo Occupato saranno presenti nei territori colpiti dal sisma quotidianamente, organizzando dei turni di spedizione. 
Riceviamo costantemente aggiornamenti riguardo i beni necessari, anche nei paesini più piccoli e isolati.
Stiamo allestendo un punto di raccolta all'Asilo Occupato, viale Duca degli Abruzzi 4, dalle 17.00 alle 20.30
- Tende da campo
- Brande e materassini
- Bombole a gas
- Prolunghe, ciabatte, adattatori
- Piatti, posate, bicchieri di plastica
- Stoviglie varie
- Prodotti igiene 
- Vestiti pesanti
- Coperte
- Assorbenti
- Pannolini
- Giochi
- Libri",viale Duca degli Abruzzi 4,"3481760542 (Eleonora) 
3477099887 (Beatrice )"
,Beni alimentari,,Pescara,"Supermercato Tigre gestito dalla Simone SRL  dalle 08:30 alle 12:30 e dalle 15:30 alle 19:30 del 26/08/2016 
In quest'occasione raccoglieremo solo ed esclusivamente: 
-olio;
-zucchero;
-pelati;
-legumi; 
-caffè; 
-tonno","via San Donato 29, Pescara,",
,Vestiario e ricariche cellulari,,Pescara,"Il 26/08/2016 il giorno 27/08/2016, presso:
2. la sede della Croce Rossa in via Avezzano, Pescara, sotto il palazzo della Provincia, dove sarà attivato un punto di raccolta aperto dalle 09:30 alle 23:30 per l'esclusiva raccolta di: 
-intimo uomo, donna e bambino; 
-pigiami; 
-tute. 
Questi indumenti dovranno essere nuovi e muniti di cartellino. 
Servono, inoltre, 
- powerbank per le ricariche dei cellulari.","via Avezzano, Pescara",
,Raccolta fondi,,Web,"#AMAtriciana is an initiative launched to collect funds for the areas of central Italy devastated by the recent earthquake. 
Through “spaghetti amatriciana”, the dish that has become the symbol of Amatrice, we are asking restaurateurs through the world to participate in person and help those who are in real need. 
For every plate of “spaghetti amatriciana “ ordered in participating restaurants, 2 euro will be donated to the Italian Red Cross: one by the restaurateur and one by the customer.",https://www.facebook.com/AMAtricianaAiuti,https://www.facebook.com/AMAtricianaAiuti
,Libri e giochi per bambini,,Librerie Coop,"Da venerdì 26 agosto, nelle 35 librerie.coop di tutta Italia, fra cui Milano, Roma, Bologna, Genova, Pesaro, Pescara, Ravenna. In tutti i punti vendita della catena di librerie a marchio Coop, sarà possibile consegnare libri per bambini e giocattoli, nuovi o anche usati, purché in buone condizioni. A tutti coloro che acquisteranno un volume verrà applicato uno sconto del 10% sul volume donato; al termine della raccolta, librerie.coop devolverà a sua volta per la ricostruzione della cittadina un importo pari al valore dei libri acquistati e donati dai clienti. ",,
,Beni di prima necessità,,San Giuliano Milanese (MI),"Martedì 30 e Mercoledì 31 Agosto MATTINA e POMERIGGIO dalle 10.00 alle 19.00
In Sostegno dei terremotati del centro Italia allestiamo un PUNTO DI RACCOLTA di beni di prima necessità presso il nostro CAMPO di Via Parini a San Giuliano Milanese.
","CAMPO di Via Parini, San Giuliano Milanese (MI)","3331097016
3461301179"
,"PC, computer, stampanti e materiale informatico",APERTA,Tutta Italia,"A nome di Informatici Senza Frontiere, possiamo fornire supporto con materiale informatico vario per ripristinare uffici pubblici, scuole, etc. Abbiamo già fatto cose simili per il terremoto in Emilia. Abbiamo anche già scritto un SMS al sindaco di Amatrice dopo il suo appello pubblico ma senza aver ottenuto risposta.",,"Claudio Rosazza
claudio.rosazza@informaticisenzafrontiere.org
348 263 97 23"
,Tenda Maggiolina,APERTA,Valdobbiadene,"Offerta di una tenda ""Maggiolina"" (si monta sopra un'auto o può essere usata a terra con dei 
piccoli rialzi in legno e una volta aperta diventa una sorta di casetta). Ha dentro un materasso da una piazza e mezza, si dorme comodi 
in due. Offre anche un sacco a pelo e delle coperte, in ottimo stato e puliti.",,Giampietro Gai: 347 0403911 - gian@genikdisegno.it
,Libri e cancelleria ,APERTA,Tutta Italia,L’Associazione Nazionale Presidi del Lazio e il Progetto Bambini dell’U.N.I.T.A.L.S.I. (Unione Nazionale Italiana Trasporto Ammalati a Lourdes e Santuari Internazionali) hanno lanciato l’iniziativa “Scuola solidale” grazie alla quale verranno raccolti fondi a favore dell’Istituto omnicomprensivo di Amatrice che è andato completamente distrutto a causa del sisma.,,L’Associazione Nazionale Presidi del Lazio e il Progetto Bambini dell’U.N.I.T.A.L.S.I.
,Punto di ristoro,APERTA,Ritrosi nel Parco alla Trasanna,"Segnalazione raccolta alle ore 14.55 di domenica 28/08/2016. Per chi ha bisogno di ristoro e cibo, Francesca Nardi ha allestito punto di ristoro. ",,cellulare 349 406 2828.
,,APERTA,Ortona,"In occasione dell'evento ""Ortona città delle donne"" realizzato dall'Associazione di promozione sociale Donn.è, d'intesa con il CNAB Protezione Civile Ortona, il 30 agosto pv. presso la Piazzetta dei Pescatori alle ore 21.30 sarà presente un punto di raccolta fondi per le popolazioni colpite dal sisma del 24 agosto.
L'intero ricavato sarà devoluto alle stesse esclusivamente tramite il CNAB Protezione Civile Ortona.",Piazzetta dei pescatori,
