Approvato,Data,Ora,Breve descrizione delle necessità,Elenco completo dei fabbisogni,Indirizzo,Località,Comune,Fonte ,Link,latitude,longitude,ID
,2016/09/14,8:50,Disaster Tech Lab cerca con urgenza volontari Ict per intervento su Amatrice.,Cercasi volontari con competenze informatiche per intervento a Amatrice. Per info e candidature scrivere a volunteer@disastertechlab.org,Amatrice,,,Twitter,https://twitter.com/disastertechlab/status/775692848591151104,,,20160914
,2016/09/13,08:15,"Federazione Cuochi Marche cerca 3 cuochi volontari per campo terremotati da affiancare ad altri cuochi già in loco. Si offre vitto, alloggio e assicurazione. ",,,,,Fb,https://www.facebook.com/ascom.rieti/photos/a.1421929414799607.1073741826.1421929318132950/1683799888612557/?type=3,,,20160913
,2016/09/13,09:29,Fra non molto a Sommati sarà difficilissimo vivere in tenda a causa del freddo/acqua/vento e neve;altrettanto impossibile è accettare la proposta avanzata di dover andare in albergo lasciando il bestiame e le proprietà abbandonate; Si può contattare 3489169956 GIUSEPPE,"CONTAINER,ROULOTTE/CAMPER/MODULI ABITATIVI(anche in prestito),
MANGIMI PER(mucche da latte,maiali,galline,conigli)",Sommati,,,,,,,20160913
,2016/09/10,10:26,Per nucleo familiare sito a Capricchia occorre una lavatrice. Per info 3661990081,,,,Capricchia,Gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1766909393576644/,,,20160910
,2016/09/10,18:15,"La pioggia rende impossibile la permanenza sotto le tende della protezione civile.
Chi volesse mettere a disposizione roulotte o camper per alcuni mesi a favore di chi non ha più la casa agibile può contattare il numero 0736840731.",Roulotte e Camper,Amandola,,Amandola,Pagina FB Comune di Amandola,https://www.facebook.com/groups/1758670357733881/permalink/1767098956891021/,,,20160910
,2016/09/08,16:36,Si ricerca stufa a pellet da inserire nella nuova struttura in legno per affrontare il freddo. Per info 3661990081,,,Campo Autogestito,Capricchia,Chat FB,https://www.facebook.com/groups/1758670357733881/permalink/1766044043663179/,,,20160908
,2016/09/07,0:18,"La Protezione Civile di Arquata del Tronto informa che c'è urgente necessità di CONTAINER, possibilmente da 20 piedi, per stoccaggio materiale, alimenti ecc... in quanto non ci sono al momento edifici agibili utilizzabili a questo scopo, e poiché attualmente quello destinato a tale fine è stato dichiarato inagibile. In caso di disponibilità di container, si prega di contattare la Protezione Civile di Arquata al nr. 329.6022189",20 Container da 20 piedi per stoccaggio materiali,,,Arquata del Tronto,Gruppo Fb,http://www.arquatadeltronto.com/it/news/610-cercasi-container-per-stoccaggio-materiali.html,,,20160907
,2016/09/07,5:55,"L'Associazione onlus Proteggere Insieme (Via Vernazza 6, Alba, Cuneo, tel. 0173/293163, e-mail: proteggereinsieme@libero.it) fa un appello a tutti gli esperti d'arte, i restauratori, gli studenti universitari dell'Accademia dell'Arte, i geologi, gli ingegneri che intendano avvicinarsi al mondo della Protezione Civile. L'associazione a riguardo del sisma che ha colpito molti centri abitati, edifici religiosi, palazzi d'epoca, dimore storiche, nelle regioni Lazio, Marche e Abruzzo, si sta avvicinando alla fase di attivazione dei volontari e avrebbe necessità di poter contare anche su esperti del settore.","Esperti d'arte,  restauratori,  studenti universitari dell'Accademia dell'Arte, geologi e ingegneri.",,,Alba (CN),Gruppo Fb,http://www.ilgiornaledellaprotezionecivile.it/attualita/proteggere-insieme-per-il-sisma-la-protezione-civile-cerca-esperti-darte,,,20160907
,2016/09/07,6:01,Il Centro di smistamento di Cittareale intende ampliare il centro costruendo una struttura in legno così da poter ospitare più materiale possibile. ,"100 travi di abete 15/15, 100 morali 8x8, 120 I di ferri, 2 pacchi di viti da 20 cm e 2 pacchi di chiodi da 10",,,Cittareale,Gruppo Fb,https://www.facebook.com/centrosmistamentocittareale/posts/746470725507282,,,20160907
,2016/09/07,14:18,A Sommati a causa della diminuzione delle temperature si cerca vestiario invernale,"SCARPONI
3 paia nr.35
3 paia nr.38
3 paia nr.40
3 paia nr.41
3 paia nr.42
6 paia nr.43
3 paia nr.44
4 paia nr.45
CALOSCE
2 paia nr.35
2 paia nr.38
4 paia nr.43
2 paia nr.44
3 paia nr.45
VESTITI
Calzettoni pesanti (senza limite)
Maglioni in pile (senza limite)
Cappelli di lana 
Guanti di lana
Il resto è tutto gradito ( camicia in lana, lupetti, giacconi etc)",,,Sommati,Gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1765547770379473/,,,20160907
,2016/09/07,20:10,Azienda agricola Bosco Torto San pellegrino (Val nerina) sta cercando un laboratorio agibile dove estrarre i pistilli di zafferano dai fiori ,,,San pellegrino (Val Nerina),,Gruppo FB ,https://www.facebook.com/groups/1758670357733881/permalink/1765674217033495/,,,20160907
,2016/09/06,0:15,"Studente di Amatrice, rimasto solo e senza casa, cerca urgentemente a L'Aquila caravan o appartamentino da condividere con altri studenti, così da poter continuare gli studi.",Caravan o piccolo appartamento (anche da condividere),,,L'Aquila,Gruppo Fb,https://www.facebook.com/groups/1758670357733881/permalink/1764807577120159/,,,20160906
,2016/09/06,22:30,"Consorzio di tutela ""L’Amatriciano: il Pecorino dei Monti della Laga” cerca punti vendita in tutta Italia per commercializzare prodotti caseari di aziende colpite dal sisma",Punti vendita per commercializzare prodotti caseari.,,,,Twitter,https://postribu.net/2016/09/05/sos-pecorino-di-amatrice-acquisto-solidale/,,,20160906
,2016/09/04,16:10,Elenco fabbisogni Cittareale - Tel.: 0746947006 ,"Aggiornamento materiale necessario:
Impermeabili
Stufe
Ombrelli
Stivali da pioggia
Olio
Detersivi panni
Detersivi piatti
Mangime per animali (cavalli,pecore,galline, conigli e mucche)",,,#cittareale,,https://www.facebook.com/centrosmistamentocittareale/posts/745871232233898,,,20160904
,2016/09/03,16:30,"I ragazzi del Il Perimetro, originari di Amatrice, sono lì in questi giorni in alcune frazioni molto isolate: VOCETO, FERRAZZA/SAN MARTINO e CASCELLO. Ci sarebbe bisogno di volontari che vadano lì a dormire con le persone nelle tende, solo per la notte, perché hanno molta paura. La protezione civile ha detto che non possono mandare nessuno perché dovrebbero montare un minicampo .",volontari con disponibilità notturna,,amatrice,amatrice,gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1763607820573468/,,,20160903
,2016/09/02,16:48,Sono necessari alimenti per animali da cortile e gabbie da degenza.,"Con urgenza servono gabbie trappola di media dimensione; gabbie pieghevoli (quelle di degenza) per cani e gatti di media dimensione; cibo per cani e gatti al momento è a sufficienza, quindi quello più urgente al momento è per gli animali ""da reddito"" dispersi sul territorio. Per maggiori info sulla lista dei beni cfr sito Oipa.",,Sede OIPA più vicina.,,OIPA,http://www.oipa.org/italia/emergenzaterremoto/,,,20160902
,2016/09/01,20:50,"Centro servizi volontariato Torino e Anpas Piemonte hanno bisogno di materiali (libri, riviste, giochi, ecc.) per luogo di aggregazione anziani che stanno allestendo a Amatrice.","Libri, riviste, giochi e quanto serva per socialità.",,,Amatrice,Sito Csv Torino,http://volontariato.torino.it/vol-to-anpas-insieme-realizzare-un-centro-incontro-anziani-ad-amatrice/,,,20160901
,2016/09/01,16:00,Centro servizi volontariato Torino e Anpas Piemonte stanno allestendo luogo di aggregazione per gli anziani di Amatrice. ,"Servono libri, giochi, riviste e quanto possa essere utile per socialità.",,Amatrice,Amatrice,,http://volontariato.torino.it/vol-to-anpas-insieme-realizzare-un-centro-incontro-anziani-ad-amatrice/,,,20160901
,2016/08/31,01:38,Campo con 18 persone adulte e 1 ragazzina,"servono nell'immediato ciabatte no infradito e antiscivolo per fare la doccia, e un accappatoio nuovo da ragazza (xs)",,campo di Musicchio,Amatrice,gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1761961677404749/,,,20160831
,2016/08/31,16:16,"Punto di raccolta, esclusivamente per questo tipo di materiale, è presso l’Asilo Occupato, Aquila dalle 16.30 alle 20.30. ","LAZIO

– CAPRICCHIA: bagni, asciugatrice;
– SCAI: asciugatrice;
– COSSITO: doccetta da campo, 5 brande, 5 materassi;
– SALETTA: lavatrice, asciugatrice, ferro da stiro;
– CAMPO SCOSSA SOLIDALE: pentolame, fornelli; accappatoi;

MARCHE

– CAMPO TRA COLLE E SPELONGA: televisore per gli anziani;

ABRUZZO

– COLLEVERRICO DI MONTEREALE: container.",viale Duca degli Abruzzi,Asilo Occupato,Aquila,3.00E+32,http://www.3e32.org/,,,20160831
,2016/08/31,18:48,"Gli stivali di gomma (donna/uomo) richiesti per zone terremotate sono raccolti a San Benedetto del Tronto alla sede della Protezione Civile, lato sud del Palazzetto dello Sport.",Stivali di gomma per uomo e donna,"sede Protezione civile, lato sud Palazzetto dello Sport",sede Protezione civile,San Benedetto del Tronto,gruppo Fb,https://www.facebook.com/cittasbt/posts/1091173454296184,,,20160831
,2016/08/31,20:36,Centro Smistamento Cittareale è necessario avere i seguenti prodotti,"A breve termine:
Teli Impermeabili (massimo 4x5)
Fornelli
Scaldini e stufette x tende
Asciugapanni da campeggio
Stivali da Lavoro
Brandine e reti
Cibo x animali
Rialzi per tende
Tende Grandi
Caricabatterie per telefoni
Generatori elettricità
lavatrici
Olio in Latta 
materassi
bombole del gas
Contenitori Alimentari
Bagni Chimici
Docce Mobili
Scatoloni da Assemblare
Buste Supermercato
Giacche e Giacconi Nuovi Tutte le Taglie
A Lungo Termine
Roulotte 
Camper
Bungalow
Container
NO VETRO e NO ABBIGLIAMENTO USATO",,,Cittareale,Gruppo FB,https://www.facebook.com/centrosmistamentocittareale/photos/a.743568022464219.1073741828.743484932472528/743625872458434/?type=3&theater,,,20160831
,2016/08/30,16:00,"Saletta campo 8 famiglie età media 65, gestito da protezione civile Viterbo."," Serve intimo uomo/donna, lavatrice, asciugatrice, scarpe uomo donna NON invernale dal 37 in su e anche un 46, giochi per adulti (carte ecc.)",,saletta (campo 8),,gruppo FB,https://www.facebook.com/groups/1758670357733881/permalink/1761783947422522/,,,20160830
,2016/08/29,12:30,"MATERIALE DA REPERIRE: Il punto di raccolta, esclusivamente per questo tipo di materiale,è presso l’Asilo Occupato in viale Duca degli Abruzzi, L’Aquila","> Scai (Amatrice, 80 pp): reti e materassi;
> Verrico (Montereale, 30 pp): reti e materassi;
> frazioni di Montereale (in foto): acqua, perché l’ordinanza del divieto dell’utilizzo di acqua potabile è ancora attiva;
> Capricchia (Amatrice, 20 pp): legno per chiudere le strutture pre-esistenti della pro loco;
> Pescara del Tronto (Arquata del Tronto, ca. 100 pp): ferri, lana, uncinetto, riviste;
> Campo Scossa Solidale (SR577, Amatrice): pentolame misura grande, fornelli;
> Campo tra Colle e Spelonga (Arquata del Tronto): televisione per anziani.","Asilo Occupato in viale Duca degli Abruzzi, L’Aquila",L'Aquila,L'Aquila,COMITATO 3E32,http://www.3e32.org/?p=8993,,,20160829
,2016/08/29,14:28,"Un cane ferito sta girando tra Retrosi e Cossara, non si lascia avvicinare. Contattare Euklid: 3245630953",Serve qualcuno che sappia occuparsi delle cure di cui necessita.,,,,,,,,20160829
