title,barcode,decluttr
Troy (Two-Disc Full Screen Edition),0085392841028,0.10
The Grudge,0043396062603,0.30
Spirit: Stallion of the Cimarron,0678149015423,0.30
X2: X-Men United (Two-Disc Wide Screen Edition),0024543091974,0.30
Lara Croft: Tomb Raider - The,0097360568943,0.20
Blue Streak (Special Edition),0043396040113,0.30
Unspeakable,0027616907875,0.10
Open Water (Widescreen Edition),0031398167341,0.10
The Others (Two-Disc Collector Edition),0786936166552,0.30
The Avengers,0085391587323,0.30
Rush Hour (New Line Platinum Series),0794043717284,0.30
The Mummy Returns (Widescreen Edition),0025192110023,0.30
Dracula 2000,0786936145038,0.30
The Replacements (Snap Case),0085391858522,0.50
The Mummy (Ultimate Edition),0025192125829,0.50
The Green Mile,0053939257922,0.50
Gladiator (Signature Edition),667068720426,
