Approvato,Titolo,Descrizione,Link,
,Contributo fino a 600 Euro per ogni famiglia,Da una ordinanza della Protezione Civile n.388 articolo 3.,https://twitter.com/cypherinfo/status/769874038244122625,
,Benefici fiscali per i donatori.,"In dettaglio i benefici fiscali per i donatori: persone, imprese. Da Il sole 24 ore del 29/8/2016 #terremoto #fisco.",https://twitter.com/cypherinfo/status/770301707096031233,
,«Risarcimenti a tutti i danneggiati dal sisma» Il sole 24 ore del 3&9/2016,Assicurato dal sottosegretario alla Presidenza del consiglio Claudio De Vincenti - a risarcire tutti quelli che hanno avuto danni.,https://www.facebook.com/photo.php?fbid=10154122952182886&set=a.10153788132322886.1073741826.513172885&type=3&theater,
,Situazione Viaria,,http://www.interno.gov.it/it/notizie/terremoto-centro-italia-situazione-viaria,
,Per Noi Autistici,Servizio di sostegno per autistici nelle zone terremotate,http://www.pernoiautistici.com/2016/08/autismo-e-terremoto/,
,Tasking Manager | Open Street Map,Mappatura foto aeree aggiornate,http://osmit-tm.wmflabs.org/project/13,
,Mappa Italia dei Centri Raccolta Beni per terremoto Centro Italia,i luoghi dove sono stati predisposti dei punti di raccolta per beni di prima necessità.,http://umap.openstreetmap.fr/en/map/centri-raccolta-beni-per-terremoto-centro-italia_99556,
,Supporto Psicologico,Supporto psicologico gestito da associazione 180amici gestito da psicologi aquilani attivi nei 9 mesi posti terremoto aquilano e nei 3 mesi post terremoto emiliano. TELEFONO: +393661990081,TELEFONO: +393661990081,
,CRISIS LAB,"Lista pubblica di Twitter, gli account che forniscono informazioni utili per seguire l'evoluzione degli eventi sul terremoto.",https://twitter.com/crisislabtweet/status/768397208873996288,
,SAVE THE CHILDREN,Decalogo di informazioni utili per assistenza ai bambini in caso di terremoto,http://www.vita.it/it/article/2016/08/24/10-cose-da-fare-per-proteggere-i-bambini-dopo-un-evento-drammatico/140471/,
