Approvato,Chi,Descrizione,Intestazione,IBAN,BICSWIFT,CCPostale,Causale,Link,Note
,Protezione civile,SMS o telefonata al 45500,,,,,,https://www.facebook.com/protezione.civile.magazine/?fref=nf,
,CAI,,"Il Cai per il sisma dell'Italia centrale (Lazio, Marche e Umbria)",IT06D 05696 01620 000010373X15,,,,http://loscarpone.cai.it/news/items/terremoto-centro-italia-il-club-alpino-italiano-apre-raccolta-fondi-per-le-popolazioni-colpite.html#.V72RYN2_mq8.facebook,
,Provincia di Reggio Emilia,Le somme versate saranno destinate a progetti di assistenza e ricostruzione seguiti direttamente dalla Provincia di Reggio Emilia.,La Provincia di Reggio Emilia per le emergenze e la solidarietà presso Unicredit,IT12I 02008 12800 000100658213,,,Terremoto Centro Italia 2016,,
,Corriere della Sera/TG La7,,"Un aiuto subito - Terremoto in Centro Italia 6.0 , presso Banca Prossima",IT17E 03359 01600 100000145551,,,,,
,Croce Rossa Italiana,"E-mail: aiuti@cri.it 
Tel: 06-5510
",,IT40F 06230 03204 000030631681,CRPPIT2P086,,Sisma Centro Italia,http://www.cri.it/terremoto-centro-italia,
,Provincia di Modena ,Le somme verranno destinate a progetti di assistenza,"
",IT 52 M 02008 12930 000003398693,,,Azioni di solidarietà terremoto centro Italia del 24 agosto,,
,GUS - Gruppo Umana Solidarietà,Donazione tramite Paypal o carta di credito,,,,,,http://gusitalia.it/,
,Regione Emilia-Romagna,,Agenzia Protezione civile Emilia-Romagna,IT69G 02008 02435 000104428964,,,Emilia-Romagna per sisma Centro Italia,http://www.regione.emilia-romagna.it/notizie/primo-piano/sisma-nell-italia-centrale-il-presidente-bonaccini-nelle-prossime-ore-sui-luoghi-colpiti,
,Caritas nazionale,"
","Caritas Italiana, Via Aurelia 796 – 00165 Roma","IT06A 03359 01600 100000012474 presso Banca Prossima, Piazza della Libertà 13, Roma
IT91P 07601 03200 000000347013 presso Banco Posta, Viale Europa 175, Roma
IT88U 02008 05206 000011063119 presso UniCredit, Via Taranto 49, Roma",,,,http://www.caritas.it/pls/caritasitaliana/V3_S2EW_CONSULTAZIONE.mostra_pagina?id_pagina=6544&rifi=guest&rifp=guest,
,Rotaract Rieti,,Rotaract Club Rieti,IT98U 08327 14600 000000003217,,,Sisma Amatrice Accumoli Rieti + Indirizzo email + Club di appartenenza e/o nominativo del donatore,https://www.facebook.com/rotaract.rieti/posts/1783447371896395,
,AUSER nazionale,,AUSER,IT89L 05018 03200 000000105900,,,accolta fondi terremoto 2016 Centro Italia,http://www1.auser.it/primo-piano/terremoto-centro-italia-scatta-la-solidarieta-di-auser/,
,PD nazionale,,Partito Democratico - Via S. Andrea delle Fratte 16 - 00187 Roma,IT96H0103003200000006365314,PASCITMMROM,,Partito Democratico - Raccolta fondi per terremoto,http://www.partitodemocratico.it/partito/terremoto-pd-avvia-raccolta-fondi/,
,Regione Toscana e Anci Toscana,,,IT43Q 01030 02818 000000888832,,,,http://www.toscana-notizie.it/-/terremoto-centro-italia-un-conto-corrente-per-le-donazioni-di-tutta-la-toscana,
,Associazione Enea Grilli,,"
",IT74H 05387 66850 000002064231,,,Sisma Centro Italia,http://www.associazioneeneagrilli.org/index.php/news,
,Comune di Arquata del Tronto,,"
",IT33W 03069 693701 00000000246,,,Solidarietà Terremoto Arquata del Tronto,https://www.facebook.com/ascolipiceno/photos/a.334802869887682.85935.131745913526713/1253222841379009/?type=3,
,UniCoopFirenze,"Soci e clienti possono versare quote di danaro direttamente alle casse oppure, solo nel caso dei soci, scaricare punti dalla tessera devolvendoli alle popolazioni colpite",,,,,,https://www.facebook.com/SezioneSociCoopFirenzeSudOvest/posts/1094597260625093,
,Il Fatto Quotidiano,"Donazioni saranno raccolte alle feste del Fatto, il 27-28 agosto a Roma (Città dell’Altra Economia, Campo Boario di Testaccio, Largo D. Frisullo) e il 2-4 settembre alla Versiliana di Marina di Pietrasanta. Anche il ricavato dello spettacolo di Marco Travaglio e Giorgia Salari, “Perché No”, sarà devoluto al Comune di Amatrice.

",Editoriale Il Fatto Spa,IT17D 05387 03206 000001882918,BPMOIT22XX,,Fatto per Amatrice,http://www.ilfattoquotidiano.it/2016/08/26/terremoto-centro-italia-il-fatto-quotidiano-sostiene-amatrice-raccolta-fondi-per-ricostruire-scuola-e-asilo/2997030/,
,ActionAid Italia ,Donazioni direttamente sul sito,,,,,,https://www.actionaid.it/terremoto-in-centro-italia,
,Le creative di Natale al Poggio,Pagina Facebook dove vengono pubblicati oggetti messi in vendita con la modalità dell'asta dalle creative. Chi compra non paga la creativa ma dona all'ente / associazione indicata,,,,,,https://www.facebook.com/Creare-per-Ricostruire-1745760672344729/,
,"Cisom - Corpo Italiano Soccorso Ordine di Malta
",,Fondazione Corpo italiano di soccorso dell'Ordine di Malta ,IT50E 02008 05074 000103744409,UNCRITMM,,,http://www.cisom.org/le-nostre-news-da/direzione-nazionale/297-terremoto-in-italia.html,
,Comune di Amatrice ,,,IT13W 08327 73470 000000005050,,,,http://www.comune.amatrice.rieti.it/codice-iban-del-comune
