Fabbisogno,Link,Conclusione,Grazie,Data_Chiusura
Gruppo elettrogeno Campi di Norcia,http://terremotocentroitalia.info/issues/867/index.html,A seguito di un'azione di tweet bombing a Enel Group il mattino seguente alla segnalazione Enel ha provveduto a fornire a Campi il gruppo elettrogeno richiesto. Abbiamo personalmente parlato con le persone del campo che ci hanno detto che sono state contattate da Enel e alle 8 di mattina centinaia di persone avevano l'elettricità.,"@EnelGroupIT, Luca Tonellotto",2 novembre 2016
Parco Nazionale Monti Sibillini,http://terremotocentroitalia.info/issues/1100/index.html,Dei privati hanno donato il materiale informatico richiesto permettendo così il ripristino della funzionalità minima dell'ufficio del Parco.,,8 novembre 2016
Tappeto srotolabile Cascia,http://terremotocentroitalia.info/issues/1198/index.html,Il giorno stesso un privato ha donato il bene richiesto e fatto recapitare direttamente a chi ne aveva fatto richiesta..,Micol S. da Roma,10 novembre 2016
Camper Ussita,http://terremotocentroitalia.info/issues/1188/index.html ,"Francesca e Cristiano di Modena hanno donato un camper a Patrizia, Valentina e Linda di Ussita, tre ragazze rimaste in paese per aiutare i Vigili del Fuoco e i volontari. Finchè non è arrivato il camper dormivano in tenda.",Francesca e Cristiano Bucci,10 novembre 2016
Stufette Camerino,http://terremotocentroitalia.info/issues/1232/index.html,"Il giorno seguente la segnalazione un privato ha donato 10 stufette, ritirate a Roma direttamente da un membro dell'Ass. #IONONCROLLO di Camerino. Altre 10 stufette sono state donate qualche giorno dopo dall'azienda emiliana Mo-El.","Micol S. da Roma, Mo-el da Reggio Emilia",24 novembre 2016
Stufette a Fiastra,https://github.com/emergenzeHack/terremotocentro_segnalazioni/issues/1270,Una cittadina sfollata a causa del terremoto ci informa con un post nel gruppo Facebook della necessità urgente nella tendopoli di Fiastra di alcune stufette e di una lavasciuga. L'azienda Mo-El ha donato al Comune di Fiastra 13 stufette. Rimane aperta la richiesta di lavasciuga.,Azienda Mo-El,24 novembre 2016
Materiale medico Cascia,http://terremotocentroitalia.info/issues/1200/index.html,Una serie di privati hanno reperito gran parte dell'attrezzatura che il medico di Cascia ha perduto sotto le macerie. Tuttavia la segnalazione rimane ancora aperta perché mancano alcuni strumenti per soddisfare completamente la richiesta (questo è un invito a diffonderla e a chiuderla il prima possibile!),Micol S. da Roma,23 novembre 2016
Lana e ferri per anziane San Benedetto,http://terremotocentroitalia.info/issues/1128/index.html,L'utente del Sito StefanoP si è messo in contatto con la referente della segnalazione attraverso la nostra pagina facebook ed ha portato personalmente il materiale a San Bendetto del Tronto. La segnalazione non è stata chiusa volutamente in quanto la referente ci ha detto che c'è sempre bisogno di questo tipo di materiale.,"Stefano Pardini, Daniela Camusi",
Scarponi Bolognola,http://terremotocentroitalia.info/issues/1251/index.html,L'utente del sito StefanoP si è messo in contatto con il segnalatore e ha portato peronalmente gli scarponi a Bolognola (MC).,"Stefano Pardini, Alberto Brandi e il Sindaco di Bolognola Cristina Gentili. ",
Scuolabus Acquasanta Terme,http://terremotocentroitalia.info/issues/824/index.html,GoGoBus ci ha contattatti tramite Twitter e ha trovato uno scuolabus attraverso la sua rete.,@gogobusITA,
