title,price,link,image
Anyone need a seven ten cap? T-shirt,12.00,http://amzn.to/2rsy5uH,/images/tshirts/seven-ten-cap-t-shirt.jpg
HTML Web Designer and Web Developer T-Shirt,$20.00,http://amzn.to/2rgQRsA,/images/tshirts/html-body-sarcasm-t-shirt-front.jpg
I'd Rather Be Camping T-Shirt,12.00,https://alexa.design/2pnlHek,/images/tshirts/i-d-rather-be-camping-t-shirt.jpg
Keep Clam and Proofread Funny T-Shirt,12.00,http://amzn.to/2mQ8cX4,/images/tshirts/keep-clam-and-proofread-funny-t-shirt.jpg
I Love My Dog T-Shirt,12.00,http://amzn.to/2lMpiW6,/images/tshirts/i-love-my-dog-t-shirt.jpg
I Can Explain It To You Engineer Scientist T-Shirt,12.00,http://amzn.to/2mNAygo,/images/tshirts/i-can-explain-it-to-you-t-shirt.jpg
Happiness is a Cup of Coffee & a Good Book T-Shirt,12.00,http://amzn.to/2nk3qx7,/images/tshirts/happiness-is-a-cup-of-coffee-and-a-good-book-t-shirt.jpg
At My Age Sometimes I Stop to Think Funny Adult T-Shirt,12.00,http://amzn.to/2oJ4XyX,/images/tshirts/at-my-age-t-shirt.jpg
Why Do Today Funny Procrastinator's T-Shirt,12.00,http://amzn.to/2qcnrYj,/images/tshirts/why-do-today-t-shirt.jpg
My Dog is my Player 2 T-Shirt,12.00,http://amzn.to/2pcXE6B,/images/tshirts/my-dog-is-my-player-2-t-shirt.jpg
