---
layout: post
title: 2020-2021/743场LOL比赛部分数据汇总
---
-

2021.2.24

blue_kill	blue_team	red_kill	red_team		单1双2	time  
15	WE	8	LNG	23	1	"32 :
                            57"  
23	WE	6	LNG	29	1	"31 :
                            54"		
4	RW	13	V5	17	1	"25 :
                            29"		
21	V5	5	RW	26	2	"25 :
                            53"		
13	FPX	7	SN	20	2	"31 :
                            34"		
18	SN	18	FPX	36	2	"37 :
                            11"		
13	TES	2	LGD	15	1	"31 :
                            08"		
11	LGD	25	TES	36	2	"26 :
                            25"		
10	EDG	10	JDG	20	2	"33 :
                            53"		
7	JDG	20	EDG	27	1	"41 :
                            08"		
14	RA	22	BLG	36	2	"42 :
                            18"		
22	BLG	13	RA	35	1	"39 :
                            57"		
10	FNC	24	RGE	34	2	"27 :
                            50"		
17	MAD	4	AST	21	1	"31 :
                            57"		
8	SK	11	G2	19	1	"30 :
                            46"		
5	MSF	14	VIT	19	1	"33 :
                            24"		
10	S04	12	XL	22	2	"41 :
                            08"		
23	MSF	12	FNC	35	1	"26 :
                            15"		
11	RGE	5	XL	16	2	"31 :
                            12"		
7	VIT	8	S04	15	1	"48 :
                            16"		
3	AST	14	SK	17	1	"34 :
                            06"		
23	G2	9	MAD	32	2	"32 :
                            06"		
22	EDG	9	TT	31	1	"33 :
                            44"		
11	TT	15	EDG	26	2	"33 :
                            28"		
20	JDG	9	RA	29	1	"35 :
                            13"		
5	RA	20	JDG	25	1	"28 :
                            42"		
17	RNG	6	V5	23	1	"28 :
                            03"		
25	V5	13	RNG	38	2	"26 :
                            32"		
20	RNG	9	V5	29	1	"31 :
                            53"		
13	LNG	1	BLG	14	2	"30 :
                            53"		
19	BLG	8	LNG	27	1	"32 :
                            41"		
15	LNG	2	BLG	17	1	"24 :
                            30"		
10	XL	28	G2	38	2	"37 :
                            00"		
23	IG	8	RW	31	1	"30 :
                            32"		
20	RW	33	IG	53	1	"30 :
                            38"		
12	ES	21	FPX	33	1	"31 :
                            11"		
16	FPX	11	ES	27	1	"22 :
                            33"		
11	DK	14	GEN	25	1	"52 :
                            40"		
2	GEN	12	DK	14	2	"30 :
                            26"		
15	DK	2	GEN	17	1	"26 :
                            56"		
19	HLE	5	BRO	24	2	"32 :
                            26"		
5	BRO	14	HLE	19	1	"31 :
                            06"		
4	OMG	15	SN	19	1	"24 :
                            52"		
4	OMG	23	SN	27	1	"22 :
                            26"		
8	LGD	12	BLG	20	2	"34 :
                            57"		
13	BLG	5	LGD	18	2	"26 :
                            34"		
23	T1	20	LSB	43	1	"42 :
                            29"		
9	DRX	23	KT	32	2	"34 :
                            34"		
13	LSB	19	T1	32	2	"33 :
                            23"		
16	KT	7	DRX	23	1	"30 :
                            06"		
15	RA	3	RW	18	2	"23 :
                            51"		
9	JDG	20	TES	29	1	"29 :
                            08"		
5	RW	19	RA	24	2	"27 :
                            14"		
3	JDG	19	TES	22	2	"23 :
                            05"		
13	IG	23	FPX	36	2	"23 :
                            33"		
9	ES	16	LNG	25	1	"29 :
                            28"		
20	FPX	9	IG	29	1	"27 :
                            10"		
6	ES	18	LNG	24	2	"26 :
                            03"		
22	TT	15	V5	37	1	"33 :
                            50"		
11	V5	25	TT	36	2	"27 :
                            56"		
5	WE	15	RNG	20	2	"28 :
                            38"		
17	RNG	8	WE	25	1	"29 :
                            48"		
13	NS	2	KT	15	1	"28 :
                            15"		
14	KT	14	NS	28	2	"34 :
                            58"		
15	AF	3	T1	18	2	"35 :
                            31"		
14	T1	24	AF	38	2	"36 :
                            18"		
3	LSB	18	GEN	21	1	"29 :
                            49"		
23	GEN	12	LSB	35	1	"33 :
                            49"		
9	BRO	13	DRX	22	2	"37 :
                            54"		
0	DRX	8	BRO	8	2	"29 :
                            12"		
8	BRO	12	DRX	20	2	"36 :
                            15"		
8	DK	12	HLE	20	2	"34 :
                            44"		
10	HLE	25	DK	35	1	"29 :
                            42"		
12	NS	12	AF	24	2	"39 :
                            09"		
17	AF	17	NS	34	2	"40 :
                            27"		
29	MAD	21	FNC	50	2	"35 :
                            50"		
13	S04	7	G2	20	2	"34 :
                            46"		
19	SK	5	MSF	24	2	"29 :
                            34"		
7	VIT	14	RGE	21	1	"40 :
                            29"		
2	AST	14	XL	16	2	"40 :
                            50"		
24	FNC	8	VIT	32	2	"34 :
                            02"		
12	RGE	9	MSF	21	1	"33 :
                            54"		
17	S04	8	SK	25	1	"32 :
                            25"		
30	G2	17	AST	47	1	"33 :
                            09"		
4	XL	12	MAD	16	2	"27 :
                            34"		
14	SN	5	LGD	19	1	"28 :
                            22"		
14	RNG	4	BLG	18	2	"28 :
                            50"		
11	RNG	16	BLG	27	1	"38 :
                            32"		
20	BLG	7	RNG	27	1	"26 :
                            47"		
21	V5	13	EDG	34	2	"34 :
                            19"		
19	RA	11	WE	30	2	"32 :
                            01"		
21	EDG	2	V5	23	1	"22 :
                            56"		
12	WE	18	RA	30	2	"34 :
                            55"		
17	ES	14	TT	31	1	"45 :
                            10"		
6	TT	20	ES	26	2	"30 :
                            35"		
12	ES	17	TT	29	1	"33 :
                            05"		
14	JDG	9	RW	23	1	"33 :
                            03"		
7	RW	16	JDG	23	1	"29 :
                            07"		
7	GEN	14	DRX	21	1	"34 :
                            00"		
16	T1	1	NS	17	1	"26 :
                            48"		
21	NS	7	T1	28	2	"35 :
                            49"		
13	T1	4	NS	17	1	"30 :
                            40"		
4	DRX	12	GEN	16	2	"33 :
                            21"		
14	FPX	6	LNG	20	2	"30 :
                            18"		
12	LNG	19	FPX	31	1	"29 :
                            22"		
13	IG	3	OMG	16	2	"26 :
                            30"		
24	IG	6	OMG	30	2	"25 :
                            56"		
