"Year","City","Fatal_crashes","Fatalities","Incapacitating_crashes","Incapacitating_injuries","NonIncapacitating_crashes","NonIncapacitating_injuries","PossibleInjury_crashes","Possible_injuries","NonInjury_crashes","NonInjuries","UnknownSeverity_crashes","Unknown_injuries","Total_crashes","srce"
"2006","AUSTIN",53,62,NA,NA,NA,NA,NA,NA,4674,NA,473,NA,12695,"Annual report"
"2007","AUSTIN",57,58,NA,NA,NA,NA,NA,NA,4997,NA,524,NA,13284,"Annual report"
"2008","AUSTIN",57,59,NA,NA,NA,NA,NA,NA,5922,NA,574,NA,13484,"Annual report"
"2009","AUSTIN",63,65,NA,NA,NA,NA,NA,NA,5590,NA,584,NA,12530,"Annual report"
"2010","AUSTIN",49,51,365,441,2936,4127,2867,5153,6236,24135,446,1826,12915,"CRIS"
"2011","AUSTIN",50,56,416,518,3099,4235,3079,5256,6056,23909,424,1800,13155,"CRIS"
"2012","AUSTIN",75,78,480,562,3576,4937,3442,6048,6884,27036,527,2166,15006,"CRIS"
"2013","AUSTIN",70,73,479,575,3584,4799,3222,5388,7156,27698,417,1853,14964,"CRIS"
"2014","AUSTIN",56,60,368,418,2987,4043,2920,4887,6954,26457,302,1379,13638,"CRIS"
"2015","AUSTIN",70,78,311,364,2277,3118,2423,3895,5824,21488,299,1366,11271,"CRIS"
"2006","DALLAS",145,155,NA,NA,NA,NA,NA,NA,9526,NA,1373,NA,21055,"Annual report"
"2007","DALLAS",144,155,NA,NA,NA,NA,NA,NA,10063,NA,1419,NA,21990,"Annual report"
"2008","DALLAS",139,151,NA,NA,NA,NA,NA,NA,10421,NA,1315,NA,21635,"Annual report"
"2009","DALLAS",99,104,NA,NA,NA,NA,NA,NA,12253,NA,1444,NA,24209,"Annual report"
"2010","DALLAS",120,129,600,729,3025,3980,7076,12131,14590,49853,2249,8575,27675,"CRIS"
"2011","DALLAS",116,120,606,708,2870,3767,6807,11888,14680,49095,2150,8465,27247,"CRIS"
"2012","DALLAS",132,141,707,853,2938,3872,6510,11306,15122,50565,2186,8410,27611,"CRIS"
"2013","DALLAS",131,145,823,985,3205,4274,6484,11368,16967,54040,2489,9105,30113,"CRIS"
"2014","DALLAS",144,156,769,937,3246,4306,6367,11107,17758,55424,2593,9603,30891,"CRIS"
"2015","DALLAS",111,122,567,654,2445,3254,5060,8780,14304,44603,2062,7435,24571,"CRIS"
