GISJOIN,YEAR,STATE,STATEA,NAME,A00AA
"G090","1790","Connecticut","090","Connecticut",237655
"G100","1790","Delaware","100","Delaware",59096
"G130","1790","Georgia","130","Georgia",82548
"G240","1790","Maryland","240","Maryland",319728
"G250","1790","Massachusetts","250","Massachusetts",475199
"G330","1790","New Hampshire","330","New Hampshire",141899
"G340","1790","New Jersey","340","New Jersey",184139
"G360","1790","New York","360","New York",340241
"G370","1790","North Carolina","370","North Carolina",395005
"G420","1790","Pennsylvania","420","Pennsylvania",433611
"G440","1790","Rhode Island","440","Rhode Island",69112
"G450","1790","South Carolina","450","South Carolina",249073
"G465","1790","Southwest Territory","465","Southwest Territory",35691
"G500","1790","Vermont","500","Vermont",85341
"G510","1790","Virginia","510","Virginia",821287
"G090","1800","Connecticut","090","Connecticut",251002
"G100","1800","Delaware","100","Delaware",64273
"G110","1800","District Of Columbia","110","District of Columbia",14093
"G130","1800","Georgia","130","Georgia",162686
"G185","1800","Indiana Territory","185","Indiana Territory",5641
"G210","1800","Kentucky","210","Kentucky",220955
"G240","1800","Maryland","240","Maryland",341548
"G250","1800","Massachusetts","250","Massachusetts",574564
"G285","1800","Mississippi Territory","285","Mississippi Territory",8850
"G330","1800","New Hampshire","330","New Hampshire",183858
"G340","1800","New Jersey","340","New Jersey",211149
"G360","1800","New York","360","New York",589051
"G370","1800","North Carolina","370","North Carolina",478103
"G385","1800","Northwest Territory","385","Northwest Territory",45365
"G420","1800","Pennsylvania","420","Pennsylvania",602365
"G440","1800","Rhode Island","440","Rhode Island",69122
"G450","1800","South Carolina","450","South Carolina",345591
"G470","1800","Tennessee","470","Tennessee",105602
"G500","1800","Vermont","500","Vermont",154465
"G510","1800","Virginia","510","Virginia",880200
"G090","1810","Connecticut","090","Connecticut",261942
"G100","1810","Delaware","100","Delaware",72674
"G110","1810","District Of Columbia","110","District of Columbia",24023
"G130","1810","Georgia","130","Georgia",252433
"G175","1810","Illinois Territory","175","Illinois Territory",12282
"G185","1810","Indiana Territory","185","Indiana Territory",24520
"G210","1810","Kentucky","210","Kentucky",406511
"G225","1810","Louisiana Territory","225","Louisiana Territory",20845
"G240","1810","Maryland","240","Maryland",380546
"G250","1810","Massachusetts","250","Massachusetts",700745
"G265","1810","Michigan Territory","265","Michigan Territory",4762
"G285","1810","Mississippi Territory","285","Mississippi Territory",40352
"G330","1810","New Hampshire","330","New Hampshire",214460
"G340","1810","New Jersey","340","New Jersey",245562
"G360","1810","New York","360","New York",959049
"G370","1810","North Carolina","370","North Carolina",555500
"G390","1810","Ohio","390","Ohio",230760
"G417","1810","Orleans Territory","417","Orleans Territory",76556
"G420","1810","Pennsylvania","420","Pennsylvania",810091
"G440","1810","Rhode Island","440","Rhode Island",76931
"G450","1810","South Carolina","450","South Carolina",415115
"G470","1810","Tennessee","470","Tennessee",261727
"G500","1810","Vermont","500","Vermont",217895
"G510","1810","Virginia","510","Virginia",974600
"G010","1820","Alabama","010","Alabama",127901
"G055","1820","Arkansas Territory","055","Arkansas Territory",14273
"G090","1820","Connecticut","090","Connecticut",275248
"G100","1820","Delaware","100","Delaware",72749
"G110","1820","District Of Columbia","110","District of Columbia",33039
"G130","1820","Georgia","130","Georgia",340989
"G170","1820","Illinois","170","Illinois",55211
"G180","1820","Indiana","180","Indiana",147178
"G210","1820","Kentucky","210","Kentucky",564317
"G220","1820","Louisiana","220","Louisianna",153407
"G230","1820","Maine","230","Maine",298335
"G240","1820","Maryland","240","Maryland",407350
"G250","1820","Massachusetts","250","Massachusetts",523287
"G265","1820","Michigan Territory","265","Michigan Territory",8896
"G280","1820","Mississippi","280","Mississippi",75448
"G295","1820","Missouri Territory","295","Missouri Territory",66586
"G330","1820","New Hampshire","330","New Hampshire",244161
"G340","1820","New Jersey","340","New Jersey",277575
"G360","1820","New York","360","New York",1372812
"G370","1820","North Carolina","370","North Carolina",638829
"G390","1820","Ohio","390","Ohio",581434
"G420","1820","Pennsylvania","420","Pennsylvania",1049458
"G440","1820","Rhode Island","440","Rhode Island",83059
"G450","1820","South Carolina","450","South Carolina",502741
"G470","1820","Tennessee","470","Tennessee",422813
"G500","1820","Vermont","500","Vermont",235764
"G510","1820","Virginia","510","Virginia",1065379
"G010","1830","Alabama","010","Alabama",309527
"G055","1830","Arkansas Territory","055","Arkansas Territory",30388
"G090","1830","Connecticut","090","Connecticut",297675
"G100","1830","Delaware","100","Delaware",76748
"G110","1830","District Of Columbia","110","District of Columbia",39834
"G125","1830","Florida Territory","125","Florida Territory",34730
"G130","1830","Georgia","130","Georgia",516823
"G170","1830","Illinois","170","Illinois",157445
"G180","1830","Indiana","180","Indiana",343031
"G210","1830","Kentucky","210","Kentucky",687917
"G220","1830","Louisiana","220","Louisianna",215739
"G230","1830","Maine","230","Maine",399455
"G240","1830","Maryland","240","Maryland",447040
"G250","1830","Massachusetts","250","Massachusetts",610408
"G265","1830","Michigan Territory","265","Michigan Territory",31639
"G280","1830","Mississippi","280","Mississippi",136621
"G290","1830","Missouri","290","Missouri",140455
"G330","1830","New Hampshire","330","New Hampshire",269328
"G340","1830","New Jersey","340","New Jersey",320823
"G360","1830","New York","360","New York",1918608
"G370","1830","North Carolina","370","North Carolina",737987
"G390","1830","Ohio","390","Ohio",937903
"G420","1830","Pennsylvania","420","Pennsylvania",1348233
"G440","1830","Rhode Island","440","Rhode Island",97199
"G450","1830","South Carolina","450","South Carolina",581185
"G470","1830","Tennessee","470","Tennessee",681904
"G500","1830","Vermont","500","Vermont",280652
"G510","1830","Virginia","510","Virginia",1211405
"G010","1840","Alabama","010","Alabama",590756
"G050","1840","Arkansas","050","Arkansas",97574
"G090","1840","Connecticut","090","Connecticut",309978
"G100","1840","Delaware","100","Delaware",78085
"G110","1840","District Of Columbia","110","District of Columbia",43712
"G125","1840","Florida Territory","125","Florida Territory",54477
"G130","1840","Georgia","130","Georgia",691392
"G170","1840","Illinois","170","Illinois",476183
"G180","1840","Indiana","180","Indiana",685866
"G195","1840","Iowa Territory","195","Iowa Territory",43112
"G210","1840","Kentucky","210","Kentucky",779828
"G220","1840","Louisiana","220","Louisianna",352411
"G230","1840","Maine","230","Maine",501793
"G240","1840","Maryland","240","Maryland",470019
"G250","1840","Massachusetts","250","Massachusetts",737699
"G260","1840","Michigan","260","Michigan",212267
"G280","1840","Mississippi","280","Mississippi",375651
"G290","1840","Missouri","290","Missouri",383702
"G330","1840","New Hampshire","330","New Hampshire",284574
"G340","1840","New Jersey","340","New Jersey",373306
"G360","1840","New York","360","New York",2428921
"G370","1840","North Carolina","370","North Carolina",753419
"G390","1840","Ohio","390","Ohio",1519467
"G420","1840","Pennsylvania","420","Pennsylvania",1724033
"G440","1840","Rhode Island","440","Rhode Island",108830
"G450","1840","South Carolina","450","South Carolina",594398
"G470","1840","Tennessee","470","Tennessee",829210
"G500","1840","Vermont","500","Vermont",291948
"G510","1840","Virginia","510","Virginia",1239797
"G555","1840","Wisconsin Territory","555","Wisconsin Territory",30945
"G010","1850","Alabama","010","Alabama",771623
"G050","1850","Arkansas","050","Arkansas",209897
"G060","1850","California","060","California",92597
"G090","1850","Connecticut","090","Connecticut",370792
"G100","1850","Delaware","100","Delaware",91532
"G110","1850","District Of Columbia","110","District of Columbia",51687
"G120","1850","Florida","120","Florida",87445
"G130","1850","Georgia","130","Georgia",906185
"G170","1850","Illinois","170","Illinois",851470
"G180","1850","Indiana","180","Indiana",988416
"G190","1850","Iowa","190","Iowa",192214
"G210","1850","Kentucky","210","Kentucky",982405
"G220","1850","Louisiana","220","Louisianna",517762
"G230","1850","Maine","230","Maine",583169
"G240","1850","Maryland","240","Maryland",583034
"G250","1850","Massachusetts","250","Massachusetts",994514
"G260","1850","Michigan","260","Michigan",397654
"G275","1850","Minnesota Territory","275","Minnesota Territory",6077
"G280","1850","Mississippi","280","Mississippi",606526
"G290","1850","Missouri","290","Missouri",682044
"G330","1850","New Hampshire","330","New Hampshire",317976
"G340","1850","New Jersey","340","New Jersey",489555
"G355","1850","New Mexico Territory","355","New Mexico Territory",61547
"G360","1850","New York","360","New York",3097394
"G370","1850","North Carolina","370","North Carolina",869039
"G390","1850","Ohio","390","Ohio",1980329
"G413","1850","Oregon Territory","413","Oregon Territory",13294
"G420","1850","Pennsylvania","420","Pennsylvania",2311786
"G440","1850","Rhode Island","440","Rhode Island",147545
"G450","1850","South Carolina","450","South Carolina",668507
"G470","1850","Tennessee","470","Tennessee",1002717
"G480","1850","Texas","480","Texas",212592
"G495","1850","Utah Territory","495","Utah Territory",11380
"G500","1850","Vermont","500","Vermont",314120
"G510","1850","Virginia","510","Virginia",1421661
"G550","1850","Wisconsin","550","Wisconsin",305391
"G010","1860","Alabama","010","Alabama",964201
"G050","1860","Arkansas","050","Arkansas",435450
"G060","1860","California","060","California",379994
"G085","1860","Colorado Territory","085","Colorado Territory",34277
"G090","1860","Connecticut","090","Connecticut",460147
"G095","1860","Dakota Territory","095","Dakota Territory",4837
"G100","1860","Delaware","100","Delaware",112216
"G110","1860","District Of Columbia","110","District of Columbia",75080
"G120","1860","Florida","120","Florida",140424
"G130","1860","Georgia","130","Georgia",1057286
"G170","1860","Illinois","170","Illinois",1711951
"G180","1860","Indiana","180","Indiana",1350428
"G190","1860","Iowa","190","Iowa",674913
"G205","1860","Kansas Territory","205","Kansas Territory",107206
"G210","1860","Kentucky","210","Kentucky",1155684
"G220","1860","Louisiana","220","Louisianna",708002
"G230","1860","Maine","230","Maine",628279
"G240","1860","Maryland","240","Maryland",687049
"G250","1860","Massachusetts","250","Massachusetts",1231066
"G260","1860","Michigan","260","Michigan",749113
"G270","1860","Minnesota","270","Minnesota",172023
"G280","1860","Mississippi","280","Mississippi",791305
"G290","1860","Missouri","290","Missouri",1182012
"G315","1860","Nebraska Territory","315","Nebraska Territory",28841
"G325","1860","Nevada Territory","325","Nevada Territory",6857
"G330","1860","New Hampshire","330","New Hampshire",326073
"G340","1860","New Jersey","340","New Jersey",672035
"G355","1860","New Mexico Territory","355","New Mexico Territory",93516
"G360","1860","New York","360","New York",3880735
"G370","1860","North Carolina","370","North Carolina",992622
"G390","1860","Ohio","390","Ohio",2339511
"G410","1860","Oregon","410","Oregon",52465
"G420","1860","Pennsylvania","420","Pennsylvania",2906215
"G440","1860","Rhode Island","440","Rhode Island",174620
"G450","1860","South Carolina","450","South Carolina",703708
"G470","1860","Tennessee","470","Tennessee",1109801
"G480","1860","Texas","480","Texas",604215
"G495","1860","Utah Territory","495","Utah Territory",40273
"G500","1860","Vermont","500","Vermont",315098
"G510","1860","Virginia","510","Virginia",1596318
"G535","1860","Washington Territory","535","Washington Territory",11594
"G550","1860","Wisconsin","550","Wisconsin",775881
"G010","1870","Alabama","010","Alabama",996992
"G045","1870","Arizona Territory","045","Arizona Territory",9658
"G050","1870","Arkansas","050","Arkansas",484471
"G060","1870","California","060","California",560247
"G085","1870","Colorado Territory","085","Colorado Territory",39864
"G090","1870","Connecticut","090","Connecticut",537454
"G095","1870","Dakota Territory","095","Dakota Territory",14181
"G100","1870","Delaware","100","Delaware",125015
"G110","1870","District Of Columbia","110","District of Columbia",131700
"G120","1870","Florida","120","Florida",187748
"G130","1870","Georgia","130","Georgia",1184109
"G165","1870","Idaho Territory","165","Idaho Territory",14999
"G170","1870","Illinois","170","Illinois",2539891
"G180","1870","Indiana","180","Indiana",1680637
"G190","1870","Iowa","190","Iowa",1194020
"G200","1870","Kansas","200","Kansas",364399
"G210","1870","Kentucky","210","Kentucky",1321011
"G220","1870","Louisiana","220","Louisianna",726915
"G230","1870","Maine","230","Maine",626915
"G240","1870","Maryland","240","Maryland",780894
"G250","1870","Massachusetts","250","Massachusetts",1457351
"G260","1870","Michigan","260","Michigan",1184059
