Date,Ticker,Price
20090821,A,25.6
20090824,A,25.64
20090825,A,25.5
20090826,A,25.32
20090827,A,25.5
20090828,A,25.67
20090831,A,25.45
20090901,A,25.51
20090902,A,25.97
20090903,A,25.47
20090904,A,25.37
20090909,A,26.31
20090910,A,27.08
20090911,A,27.88
20090914,A,27.86
20090915,A,28.01
20090916,A,28.33
20090917,A,28.59
20090918,A,28.69
20090921,A,28.73
20090922,A,28.96
20090923,A,28.59
20090924,A,28.38
20090925,A,27.77
20090928,A,27.69
20090929,A,27.8
20090930,A,28.06
20091001,A,26.63
20091002,A,26.41
20091005,A,26.29
20091006,A,27.17
20091007,A,27.07
20091008,A,27.5
20091009,A,27.38
20091012,A,27.59
20091013,A,27.41
20091014,A,27.68
20091015,A,27.49
20091016,A,27.42
20091019,A,27.34
20091020,A,27.31
20091021,A,26.49
20091022,A,27.1
20091023,A,27.2
20091026,A,26.19
20091027,A,25.7
20091028,A,25.56
20091105,A,25.32
20091106,A,26.48
20091109,A,26.43
20091110,A,27.01
20091111,A,27.32
20091112,A,27.62
20091113,A,27.97
20091116,A,28.25
20091117,A,29.05
20091118,A,29.49
20091119,A,29.09
20091120,A,28.94
20091123,A,29.32
20091124,A,29.32
20091125,A,29.2
20091127,A,28.46
20091130,A,28.78
20091201,A,29.1
20091202,A,29.5
20091203,A,29.5
20091204,A,30.0
20091207,A,29.68
20091208,A,29.56
20091209,A,29.54
20091210,A,29.45
20091211,A,29.75
20091214,A,29.79
20091215,A,29.87
20091216,A,30.0
20091217,A,29.45
20091218,A,29.54
20091221,A,29.6
20091222,A,29.91
20091223,A,30.2
20091224,A,30.27
20091228,A,30.33
20091229,A,30.41
20091230,A,30.11
20091231,A,31.04
20100104,A,31.47
20100105,A,31.21
20100106,A,30.85
20100107,A,30.78
20100108,A,30.64
20100111,A,30.88
20100112,A,30.65
20100113,A,30.47
20100114,A,30.59
20100115,A,31.22
20100119,A,30.36
20100120,A,30.53
20100121,A,31.0
20100122,A,30.3
20100125,A,29.42
20100126,A,29.37
20100127,A,29.2
20100128,A,29.13
20100129,A,28.93
20100201,A,28.16
20100202,A,29.22
20100203,A,29.39
20100204,A,29.3
20100205,A,28.91
20100208,A,29.21
20100209,A,29.53
20100210,A,29.46
20100211,A,29.25
20100212,A,30.65
20100216,A,30.24
20100217,A,30.36
20100218,A,30.57
20100219,A,30.84
20100222,A,31.29
20100223,A,31.09
20100224,A,30.97
20100225,A,30.84
20100226,A,31.17
20100301,A,31.43
20100302,A,32.0
20100303,A,32.37
20100304,A,32.46
20100305,A,32.83
20100308,A,33.11
20100309,A,32.93
20100310,A,33.2
20100311,A,33.38
20100312,A,33.62
20100315,A,33.32
20100316,A,33.39
20100317,A,33.44
20100318,A,33.3
20100319,A,33.53
20100322,A,33.26
20100323,A,33.78
20100324,A,33.98
20100325,A,34.1
20100326,A,34.65
20100329,A,34.31
20100330,A,34.46
20100331,A,34.55
20100401,A,34.54
20100405,A,34.59
20100406,A,34.64
20100407,A,34.5
20100408,A,34.1
20100409,A,34.04
20100412,A,34.21
20100413,A,34.15
20100414,A,33.94
20100415,A,34.45
20100416,A,35.54
20100419,A,35.34
20100420,A,35.38
20100421,A,36.18
20100422,A,35.8
20100423,A,36.39
20100426,A,36.67
20100427,A,36.6
20100428,A,36.47
20100429,A,36.93
20100430,A,37.25
20100503,A,36.5
20100504,A,36.36
20100505,A,34.92
20100506,A,34.52
20100507,A,33.09
20100510,A,33.17
20100511,A,33.68
20100512,A,34.16
20100513,A,34.83
20100514,A,34.39
20100517,A,34.02
20100518,A,34.0
20100519,A,32.01
20100520,A,31.73
20100521,A,30.32
20100524,A,31.24
20100525,A,30.49
20100526,A,31.51
20100527,A,32.21
20100528,A,32.76
20100601,A,32.09
20100602,A,31.7
20100603,A,32.34
20100604,A,31.61
20100607,A,30.53
20100608,A,30.18
20100609,A,29.98
20100610,A,30.02
20100611,A,30.05
20100614,A,31.14
20100615,A,31.8
20100616,A,31.99
20100617,A,32.8
20100618,A,32.55
20100621,A,33.06
20100622,A,32.41
20100623,A,32.08
20100624,A,31.73
20100625,A,30.92
20100628,A,30.63
20100629,A,30.09
20100630,A,29.16
20100701,A,28.5
20100702,A,28.36
20100706,A,28.35
20100707,A,27.72
20100708,A,28.79
20100709,A,28.88
20100712,A,28.51
20100713,A,28.47
20100714,A,28.63
20100715,A,28.62
20100716,A,28.2
20100719,A,27.29
20100720,A,27.03
20100721,A,27.68
20100722,A,27.95
20100723,A,28.56
20100726,A,29.22
20100727,A,29.73
20100728,A,28.79
20100729,A,28.97
20100730,A,27.78
20100802,A,28.35
20100803,A,28.7
20100804,A,27.86
20100805,A,28.03
20100806,A,28.18
20100809,A,28.92
20100810,A,29.44
20100811,A,28.86
20100812,A,27.65
20100813,A,27.39
20100816,A,27.11
20100817,A,28.87
20100819,A,29.25
20100820,A,28.26
20090821,AA,12.64
20090824,AA,12.76
20090825,AA,12.57
20090826,AA,12.28
20090827,AA,12.23
20090828,AA,12.66
20090831,AA,12.2
20090901,AA,12.05
20090902,AA,11.46
20090903,AA,11.95
20090904,AA,12.18
20090909,AA,12.71
20090910,AA,12.8
20090911,AA,12.98
20090914,AA,12.63
20090915,AA,13.04
20090916,AA,14.4
20090917,AA,14.5
20090918,AA,14.24
20090921,AA,13.73
20090922,AA,14.23
20090923,AA,14.39
20090924,AA,14.22
20090925,AA,13.36
20090928,AA,13.23
20090929,AA,13.56
20090930,AA,13.51
20091001,AA,13.36
20091002,AA,12.6
20091005,AA,13.0
20091006,AA,13.82
20091007,AA,14.04
20091008,AA,15.01
20091009,AA,14.24
20091012,AA,14.35
20091013,AA,14.31
20091014,AA,14.36
20091015,AA,14.21
20091016,AA,14.28
20091019,AA,14.12
20091020,AA,14.2
20091021,AA,13.73
20091022,AA,13.85
20091023,AA,14.16
20091026,AA,13.78
20091027,AA,13.3
20091028,AA,12.75
20091105,AA,12.66
20091106,AA,12.71
20091109,AA,13.13
20091110,AA,13.27
20091111,AA,13.68
20091112,AA,13.33
20091113,AA,13.22
20091116,AA,13.36
20091117,AA,13.46
20091118,AA,13.76
20091119,AA,13.52
20091120,AA,13.04
20091123,AA,13.37
20091124,AA,13.03
20091125,AA,12.99
20091127,AA,12.52
20091130,AA,12.73
20091201,AA,12.75
20091202,AA,12.9
20091203,AA,13.65
20091204,AA,13.61
20091207,AA,12.91
20091208,AA,12.93
20091209,AA,12.87
20091210,AA,13.21
20091211,AA,13.8
20091214,AA,14.62
20091215,AA,14.57
20091216,AA,14.75
20091217,AA,14.7
20091218,AA,14.61
20091221,AA,15.14
20091222,AA,15.59
20091223,AA,15.86
20091224,AA,16.02
20091228,AA,16.49
20091229,AA,16.16
20091230,AA,15.93
20091231,AA,16.33
20100104,AA,16.47
20100105,AA,16.83
20100106,AA,16.31
20100107,AA,16.52
20100108,AA,16.46
20100111,AA,17.49
20100112,AA,16.12
20100113,AA,15.77
20100114,AA,16.0
20100115,AA,15.76
20100119,AA,15.58
20100120,AA,15.42
20100121,AA,15.19
20100122,AA,14.18
20100125,AA,13.76
20100126,AA,13.45
20100127,AA,13.7
20100128,AA,13.42
20100129,AA,13.13
20100201,AA,12.99
20100202,AA,13.75
20100203,AA,13.6
20100204,AA,13.29
20100205,AA,12.91
20100208,AA,13.18
20100209,AA,13.36
20100210,AA,13.31
20100211,AA,13.19
20100212,AA,13.33
20100216,AA,13.53
20100217,AA,13.89
20100218,AA,13.45
20100219,AA,13.55
20100222,AA,13.68
20100223,AA,13.44
20100224,AA,13.18
20100225,AA,12.9
20100226,AA,13.36
20100301,AA,13.25
20100302,AA,13.41
20100303,AA,13.3
20100304,AA,13.36
20100305,AA,13.54
20100308,AA,14.0
20100309,AA,13.69
20100310,AA,13.75
20100311,AA,13.55
20100312,AA,13.75
20100315,AA,13.57
20100316,AA,13.57
20100317,AA,14.02
20100318,AA,14.48
20100319,AA,14.43
20100322,AA,14.06
20100323,AA,14.44
20100324,AA,14.4
20100325,AA,14.5
20100326,AA,14.285
20100329,AA,14.45
20100330,AA,14.46
20100331,AA,14.3
20100401,AA,14.4
20100405,AA,14.57
20100406,AA,14.6
20100407,AA,15.01
20100408,AA,14.61
20100409,AA,14.7
20100412,AA,14.51
20100413,AA,14.3
20100414,AA,14.39
20100415,AA,14.33
20100416,AA,14.22
20100419,AA,13.77
20100420,AA,13.89
20100421,AA,13.8
20100422,AA,13.62
20100423,AA,13.86
20100426,AA,14.16
20100427,AA,13.96
20100428,AA,13.47
20100429,AA,13.68
20100430,AA,13.73
20100503,AA,13.5
20100504,AA,12.94
20100505,AA,12.31
20100506,AA,12.34
20100507,AA,12.13
20100510,AA,12.53
20100511,AA,12.21
20100512,AA,12.2
20100513,AA,12.61
20100514,AA,12.66
20100517,AA,12.29
20100518,AA,12.25
20100519,AA,11.75
20100520,AA,11.47
20100521,AA,10.89
20100524,AA,11.31
20100525,AA,10.6
20100526,AA,11.64
20100527,AA,11.62
20100528,AA,11.79
20100601,AA,11.43
20100602,AA,11.29
20100603,AA,11.6
20100604,AA,11.04
20100607,AA,10.87
20100608,AA,10.55
20100609,AA,10.93
20100610,AA,11.02
20100611,AA,11.15
20100614,AA,11.55
20100615,AA,11.47
20100616,AA,11.46
20100617,AA,11.45
20100618,AA,11.19
20100621,AA,11.43
20100622,AA,11.76
20100623,AA,11.4
20100624,AA,11.31
20100625,AA,11.17
20100628,AA,11.2
20100629,AA,10.73
20100630,AA,10.38
20100701,AA,10.1
20100702,AA,10.18
20100706,AA,10.36
20100707,AA,10.24
20100708,AA,10.72
20100709,AA,10.74
20100712,AA,11.0
20100713,AA,11.32
20100714,AA,11.01
20100715,AA,10.95
20100716,AA,10.72
20100719,AA,10.5
20100720,AA,10.4
20100721,AA,10.95
20100722,AA,10.8
20100723,AA,10.87
20100726,AA,11.14
20100727,AA,11.35
20100728,AA,11.14
20100729,AA,11.1
20100730,AA,10.95
20100802,AA,11.35
20100803,AA,11.66
20100804,AA,11.6
20100805,AA,11.45
20100806,AA,11.45
20100809,AA,11.62
20100810,AA,11.43
20100811,AA,11.11
20100812,AA,10.55
20100813,AA,10.7
20100816,AA,10.56
20100817,AA,10.71
20100819,AA,10.86
20100820,AA,10.54
20090821,AAPL,167.81
20090824,AAPL,170.0
20090825,AAPL,169.43
20090826,AAPL,168.94
20090827,AAPL,168.59
20090828,AAPL,172.06
20090831,AAPL,168.09
20090901,AAPL,168.02
20090902,AAPL,164.5
20090903,AAPL,166.52
20090904,AAPL,167.2
20090909,AAPL,172.72
20090910,AAPL,172.03
20090911,AAPL,172.96
20090914,AAPL,170.85
20090915,AAPL,174.04
20090916,AAPL,178.0
20090917,AAPL,181.99
20090918,AAPL,185.9
20090921,AAPL,184.44
20090922,AAPL,185.1
20090923,AAPL,185.35
20090924,AAPL,187.28
20090925,AAPL,182.13
20090928,AAPL,183.83
20090929,AAPL,186.66
20090930,AAPL,186.04
20091001,AAPL,185.49
20091002,AAPL,181.38
20091005,AAPL,186.2
20091006,AAPL,187.73
20091007,AAPL,189.82
20091008,AAPL,190.8
20091009,AAPL,188.9
20091012,AAPL,190.97
20091013,AAPL,190.58
20091014,AAPL,192.2
20091015,AAPL,189.6
20091016,AAPL,189.25
20091019,AAPL,187.84
20091020,AAPL,200.47
20091021,AAPL,199.62
20091022,AAPL,204.52
20091023,AAPL,205.74
20091026,AAPL,203.71
