Name,Points,Position,Salary
A.J. Green,12.333999633789062,WR,7500
AJ McCarron,11.175999641418457,QB,5200
Aaron Murray,0.0,QB,5000
Aaron Ripkowski,0.16779999434947968,RB,3000
Aaron Rodgers,18.170700073242188,QB,6400
Adam Thielen,0.3504999876022339,WR,3000
Adrian Peterson,9.907500267028807,RB,7300
Akeem Hunt,0.8665000200271606,RB,3000
Albert Wilson,3.6465001106262207,WR,3500
Alex Smith,14.53279972076416,QB,5300
Alfred Blue,7.130499839782715,RB,4200
Alfred Morris,6.7125000953674325,RB,3700
Andrew Quarless,1.2369999885559082,TE,2500
Andy Dalton,7.9944000244140625,QB,6100
Anthony Sherman,0.3680000007152557,RB,3000
Antonio Brown,14.652999877929688,WR,9600
B.J. Daniels,0.0,QB,5000
Ben Roethlisberger,15.854000091552734,QB,7200
Bengals,6.5900001525878915,DST,3200
Brandon Tate,0.8525000214576721,WR,3000
Brandon Weeden,1.2252999544143677,QB,5000
Brett Hundley,0.0,QB,5000
Brian Hoyer,10.107000350952148,QB,5400
Brian Parker,0.0,TE,2500
Bryce Brown,1.6675000190734863,RB,3500
C.J. Fiedorowicz,1.0047999620437622,TE,2500
C.J. Uzomah,0.21199999749660486,TE,2500
Cecil Shorts III,0.0,WR,3300
Cedric Peerman,0.25279998779296875,RB,3000
Charcandrick West,9.420000076293944,RB,5700
Charles Johnson,2.0829999446868896,WR,3000
Chase Coffman,0.0,TE,2800
Chase Daniel,0.10080000013113022,QB,5000
Chiefs,12.890000343322756,DST,4000
Chris Conley,1.162500023841858,WR,3000
Chris Polk,3.130500078201294,RB,3400
Chris Thompson,3.343300104141236,RB,3000
Christine Michael,4.021699905395509,RB,4400
Clark Harris,0.0,TE,2500
Colt McCoy,0.9110000133514404,QB,5000
Cooper Helfet,2.234499931335449,TE,2500
Cordarrelle Patterson,0.2504999935626984,WR,3000
Darrel Young,0.5633000135421753,RB,3000
Darrius Heyward-Bey,1.2768000364303589,WR,3000
Davante Adams,4.110000133514403,WR,3400
DeAndre Hopkins,12.105999946594238,WR,8400
DeAngelo Williams,6.289500236511231,RB,7000
DeSean Jackson,9.023500442504883,WR,4500
Demetrius Harris,0.3384999930858612,TE,2500
Derrick Coleman,0.5239999890327454,RB,3300
Doug Baldwin,11.584500312805176,WR,6700
Eddie Lacy,9.015000343322754,RB,4500
Fitzgerald Toussaint,3.8364999294281006,RB,3900
Frankie Hammond,0.401199996471405,WR,3000
Fred Jackson,1.4355000257492063,RB,3500
Garrett Graham,0.4824999868869782,TE,2500
Giovani Bernard,5.707499980926514,RB,4000
Heath Miller,4.823800086975098,TE,3300
Jaelen Strong,2.9611999988555913,WR,3000
Jake Fisher,0.0,TE,2500
James Jones,8.326999664306639,WR,4100
James Starks,5.480500221252441,RB,3600
James Winchester,0.0,TE,2500
Jamison Crowder,4.2340002059936515,WR,3800
Jared Abbrederis,0.0,WR,3000
Jarius Wright,2.5978000164031982,WR,3000
Jason Avant,1.5149999856948853,WR,3000
Jay Prosch,0.5960000157356262,RB,3000
Jeff Janis,0.9915000200271606,WR,3000
Jeremy Hill,8.83430004119873,RB,5000
Jeremy Maclin,9.127799987792967,WR,6400
Jerick McKinnon,3.405800104141236,RB,3800
