,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
0,1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/1946,10/23/1946,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. § 33,78,78,1,8,1
1,1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/1945,10/17/1946,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. § 398,81,87,1,6,3
2,1946-003,1946-003-01,1946-003-01-01,1946-003-01-01-01,11/18/1946,1,329 U.S. 29,67 S. Ct. 1,91 L. Ed. 22,1946 U.S. LEXIS 3037,1946,1301,Vinson,21,CHAMPLIN REFINING CO. v. UNITED STATES ET AL.,11/8/1945,10/18/1946,209,,27,,2,66,,1,107,42,107,42,0,1,,2,1,2,0,0,0,0,80250,8,2,0,1,,2,207,,84,78,1,5,4
3,1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3
4,1946-005,1946-005-01,1946-005-01-01,1946-005-01-01-01,11/25/1946,1,329 U.S. 64,67 S. Ct. 154,91 L. Ed. 44,1946 U.S. LEXIS 2997,1946,1301,Vinson,50,"UNITED STATES v. HOWARD P. FOLEY CO., INC.",10/25/1946,,27,,176,,1,,,0,3,,3,,0,2,,2,1,3,0,1,0,0,80060,8,2,0,7,,,,,78,87,1,6,3
5,1946-006,1946-006-01,1946-006-01-01,1946-006-01-01-01,11/25/1946,1,329 U.S. 69,67 S. Ct. 156,91 L. Ed. 80,1946 U.S. LEXIS 3005,1946,1301,Vinson,46,RICHFIELD OIL CORP. v. STATE BOARD OF EQUALIZATION,10/24/1946,,198,,4,6,2,117,6,0,302,6,300,6,1,1,3,2,3,3,0,1,0,0,80100,8,1,0,2,,1,129,,81,87,1,7,1
6,1946-007,1946-007-01,1946-007-01-01,1946-007-01-01-01,11/25/1946,1,329 U.S. 90,67 S. Ct. 133,91 L. Ed. 103,1946 U.S. LEXIS 3053,1946,1301,Vinson,4,AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION,11/16/1945,10/14/1946,148,,405,,1,105,,0,21,,21,,0,10,2,2,1,2,0,0,0,0,80120,8,2,0,1,,6,600,15 U.S.C. § 79,82,74,1,6,0
7,1946-008,1946-008-01,1946-008-01-01,1946-008-01-01-01,12/9/1946,1,329 U.S. 129,67 S. Ct. 231,91 L. Ed. 128,1946 U.S. LEXIS 2995,1946,1301,Vinson,11,ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.,4/25/1946,10/24/1946,189,,189,,1,24,,0,54,9,23,,0,12,5,2,1,5,0,1,0,0,90200,9,1,0,4,,6,600,35 U.S.C. § 89,87,87,1,9,0
9,1946-010,1946-010-01,1946-010-01-01,1946-010-01-01-01,12/9/1946,1,329 U.S. 156,67 S. Ct. 237,91 L. Ed. 162,1946 U.S. LEXIS 3048,1946,1301,Vinson,42,VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.,10/22/1946,,135,,114,,1,,,0,73,21,26,,0,10,3,2,1,2,0,0,0,0,80030,8,2,0,4,,3,307,,78,87,1,8,0
10,1946-011,1946-011-01,1946-011-01-01,1946-011-01-01-01,12/9/1946,1,329 U.S. 173,67 S. Ct. 216,91 L. Ed. 172,1946 U.S. LEXIS 1657,1946,1301,Vinson,36,CARTER v. ILLINOIS,11/15/1946,,126,,28,17,1,,,0,302,17,300,17,0,10,2,1,1,2,0,0,0,0,10120,1,1,0,2,,2,214,,80,87,1,5,4
11,1946-012,1946-012-01,1946-012-01-01,1946-012-01-01-01,12/9/1946,1,329 U.S. 187,67 S. Ct. 261,91 L. Ed. 181,1946 U.S. LEXIS 1658,1946,1301,Vinson,37,BALLARD ET AL. v. UNITED STATES,10/15/1946,,100,,27,,1,,,0,51,6,29,,1,10,2,1,1,3,0,1,0,0,20130,2,2,0,3,,,,,81,78,1,6,3
12,1946-013,1946-013-01,1946-013-01-01,1946-013-01-01-01,12/9/1946,1,329 U.S. 207,67 S. Ct. 211,91 L. Ed. 193,1946 U.S. LEXIS 1659,1946,1301,Vinson,67,UNITED STATES v. BRUNO,11/22/1946,,27,,137,,1,89,,0,92,35,23,,0,4,3,2,1,3,0,1,0,0,10430,1,1,0,4,,6,600,50 U.S.C. § 925,81,78,1,9,0
13,1946-014,1946-014-01,1946-014-01-01,1946-014-01-01-01,12/9/1946,1,329 U.S. 211,67 S. Ct. 224,91 L. Ed. 196,1946 U.S. LEXIS 1660,1946,1301,Vinson,51,FISWICK ET AL. v. UNITED STATES,11/19/1946,,106,,27,,1,,,0,92,35,23,,1,4,2,1,1,3,0,1,0,0,10400,1,2,0,4,,6,600,18 U.S.C. § 88,81,78,1,9,0
14,1946-015,1946-015-01,1946-015-01-01,1946-015-01-01-01,12/9/1946,1,329 U.S. 223,67 S. Ct. 213,91 L. Ed. 204,1946 U.S. LEXIS 3147,1946,1301,Vinson,65,"FEDERAL COMMUNICATIONS COMMISSION v. WOKO, INC.",11/22/1946,,338,,221,,1,38,,0,32,,32,,1,10,3,1,1,4,0,1,0,0,80320,8,2,0,4,5,3,326,,84,87,1,8,0
15,1946-016,1946-016-01,1946-016-01-01,1946-016-01-01-01,12/9/1946,1,329 U.S. 230,67 S. Ct. 252,91 L. Ed. 209,1946 U.S. LEXIS 2996,1946,1301,Vinson,40,UNITED STATES v. CARMACK,10/18/1946,,27,,166,,1,58,,0,86,30,28,,0,10,2,1,1,4,0,1,0,0,40070,4,2,0,4,,6,600,40 U.S.C. § 341,86,87,1,9,0
16,1946-017,1946-017-01,1946-017-01-01,1946-017-01-01-01,12/16/1946,1,329 U.S. 249,67 S. Ct. 274,91 L. Ed. 265,1946 U.S. LEXIS 1616,1946,1301,Vinson,3,"FREEMAN, TRUSTEE, v. HEWIT, DIRECTOR OF GROSS INCOME TAX DIVISION",10/8/1944,10/14/1946,102,,19,18,2,,,0,302,18,300,18,0,1,3,2,3,3,0,1,0,0,80100,8,1,0,2,,1,111,,80,74,1,6,3
17,1946-018,1946-018-01,1946-018-01-01,1946-018-01-01-01,12/16/1946,1,329 U.S. 287,67 S. Ct. 207,91 L. Ed. 290,1946 U.S. LEXIS 1617,1946,1301,Vinson,54,"UNITED STATES v. RUZICKA ET AL., TRADING AS SEELEY DAIRY",11/20/1946,,27,,158,,1,4,,0,66,17,27,,1,10,3,1,1,3,0,1,0,0,80170,8,2,0,5,4,6,600,7 U.S.C. § 601,80,87,1,9,0
18,1946-019,1946-019-01,1946-019-01-01,1946-019-01-01-01,12/16/1946,1,329 U.S. 296,67 S. Ct. 271,91 L. Ed. 296,1946 U.S. LEXIS 3145,1946,1301,Vinson,48,"ROTHENSIES, COLLECTOR OF INTERNAL REVENUE, v. ELECTRIC STORAGE BATTERY CO.",11/15/1946,,369,,240,,1,69,,0,109,45,23,,0,10,2,1,1,3,0,1,0,0,120010,12,2,0,7,,,,,84,87,1,6,3
22,1946-023,1946-023-01,1946-023-01-01,1946-023-01-01-01,12/23/1946,1,329 U.S. 338,67 S. Ct. 301,91 L. Ed. 331,1946 U.S. LEXIS 1584,1946,1301,Vinson,23,GIBSON v. UNITED STATES,1/2/1946,10/23/1946,142,,27,,1,24,,0,115,49,28,,0,10,2,1,1,3,0,1,0,0,30130,3,2,0,4,,3,366,,85,78,1,9,0
23,1946-024,1946-024-01,1946-024-01-01,1946-024-01-01-01,12/23/1946,1,329 U.S. 362,67 S. Ct. 340,91 L. Ed. 348,1946 U.S. LEXIS 3045,1946,1301,Vinson,35,"ILLINOIS EX REL. GORDON, DIRECTOR OF LABOR, v. CAMPBELL, COLLECTOR OF INTERNAL REVENUE",3/28/1946,11/19/1946,28,17,369,,1,117,17,0,302,17,300,17,0,11,3,2,1,2,0,0,0,0,120030,12,2,0,4,,3,307,,85,87,1,7,2
24,1946-025,1946-025-01,1946-025-01-01,1946-025-01-01-01,12/23/1946,1,329 U.S. 379,67 S. Ct. 332,91 L. Ed. 359,1946 U.S. LEXIS 1585,1946,1301,Vinson,53,UNITED STATES v. SHERIDAN,11/12/1946,,27,,100,,1,,,0,81,27,26,,0,4,3,2,1,4,0,1,0,0,10430,1,1,0,4,,6,600,18 U.S.C. § 413,85,78,1,7,2
25,1946-026,1946-026-01,1946-026-01-01,1946-026-01-01-01,1/6/1947,1,329 U.S. 394,67 S. Ct. 416,91 L. Ed. 374,1947 U.S. LEXIS 3019,1946,1301,Vinson,70,EDWARD KATZINGER CO. v. CHICAGO METALLIC MANUFACTURING CO.,11/14/1946,,172,,177,,1,,,0,66,17,27,,0,5,2,2,1,2,0,0,0,0,80180,8,2,0,7,,5,507,,78,87,1,5,4
27,1946-028,1946-028-01,1946-028-01-01,1946-028-01-01-01,1/6/1947,1,329 U.S. 416,67 S. Ct. 444,91 L. Ed. 390,1947 U.S. LEXIS 2796,1946,1301,Vinson,75,"INTERNATIONAL HARVESTER CO. v. EVATT, TAX COMMISSIONER",12/12/1946,,25,41,19,41,2,117,41,0,300,41,300,41,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,2,230,,78,87,1,9,0
28,1946-029,1946-029-01,1946-029-01-01,1946-029-01-01-01,1/6/1947,1,329 U.S. 424,67 S. Ct. 435,91 L. Ed. 396,1947 U.S. LEXIS 2902,1946,1301,Vinson,61,"UNITED STATES ET AL. v. SEATRAIN LINES, INC.",12/9/1946,,27,,116,,2,66,,1,54,9,54,9,0,1,8,1,1,2,0,0,0,0,80230,8,1,0,4,5,3,343,,78,87,1,9,0
