Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
35008319,Tools of Titans,Timothy Ferriss,"Ferriss, Timothy",,"=""1202101771""","=""9781202101771""",3,4.21,,Paperback,,2016,2016,,2018/12/28,self-improvement,self-improvement (#4),read,,,,1,,,0,,,,,
3735293,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"Martin, Robert C.",,"=""0132350882""","=""9780132350884""",3,4.39,Prentice Hall,Paperback,434,2008,2007,2018/12/27,2018/07/18,"computer-science, references","computer-science (#41), references (#24)",read,,,,1,,,0,,,,,
26132781,Think Like an Engineer,Guru Madhavan,"Madhavan, Guru",,"=""""","=""""",2,3.45,Oneworld Publications,Kindle Edition,272,2015,2015,2018/12/26,2018/04/11,,,read,"Rather than outlining how engineers think and how to apply this to your own life, this book is largely a collection of loosely connected anecdotes about engineers. Would only recommend to a non-technical person.",,,1,,,0,,,,,
16277245,The Drunken Botanist: The Plants That Create the World's Great Drinks,Amy  Stewart,"Stewart, Amy",,"=""1616200464""","=""9781616200466""",4,3.98,Algonquin Books,Hardcover,362,2013,2013,,2018/09/19,food,food (#8),read,A tour in the plant kingdom from a bartender's point of view. Fun book to flip though if you like plants (and booze).,,,1,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",4,4.20,Grand Central Publishing,Hardcover,296,2016,2016,,2018/12/23,self-improvement,self-improvement (#3),read,,,,1,,,0,,,,,
31945100,Stephen Florida,Gabe Habash,"Habash, Gabe",,"=""1566894646""","=""9781566894647""",3,3.86,Coffee House Press,Hardcover,287,2017,2017,2018/12/23,2018/11/16,novels,novels (#75),read,,,,1,,,0,,,,,
89724,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",,"=""0143039970""","=""9780143039976""",0,4.02,Penguin,Paperback,146,2006,1962,,2018/12/09,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
917452,"Statistical Mechanics: Entropy, Order Parameters and Complexity",James P. Sethna,"Sethna, James P.",,"=""0198566778""","=""9780198566779""",4,4.04,"Oxford University Press, USA",Paperback,349,2006,2006,,2018/11/21,physics,physics (#23),read,Good reference to statistical mechanics. I particularly liked the exercises linking the physics to other fields such as molecular biology and materials science.,,,1,,,0,,,,,
20839196,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0062316095""","=""9780062316097""",5,4.45,Harper,Hardcover,443,2015,2011,2018/11/03,2018/11/02,,,read,,,,1,,,0,,,,,
3414638,Statistical Mechanics: Algorithms and Computations [With CDROM],Werner Krauth,"Krauth, Werner",,"=""0198515359""","=""9780198515357""",4,4.40,Oxford University Press,Hardcover,342,2006,2006,2018/11/28,2018/11/27,,,read,"This book conveys the relation between statistical mechanics and sampling algorithms. Not a 100% accessible work for the layman, in broad strokes a very interesting work!",,,1,,,0,,,,,
38470190,Special Relativity and Classical Field Theory,Leonard Susskind,"Susskind, Leonard",Art Friedman,"=""0141985011""","=""9780141985015""",4,4.55,Penguin,Paperback,448,2018,2017,2018/12/02,2018/12/02,physics,physics (#22),read,"Love this series! Personally, I found the topic of this book a bit less interesting than the previous two (classical mechanics and quantum) but it does a splendid job linking time, space, energy and light! Looking forward to the next one!",,,1,,,0,,,,,
18774981,Waking Up: A Guide to Spirituality Without Religion,Sam Harris,"Harris, Sam",,"=""1451636016""","=""9781451636017""",0,3.90,Simon & Schuster,Hardcover,256,2014,2014,,2018/11/18,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
39909491,"The Bullet Journal Method: Track Your Past, Order Your Present, Plan Your Future",Ryder Carroll,"Carroll, Ryder",,"=""0008261377""","=""9780008261375""",0,3.97,4th Estate - GB,Hardcover,311,2018,2018,,2018/11/01,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
177068,The Fabric of Reality: The Science of Parallel Universes--and Its Implications,David Deutsch,"Deutsch, David",,"=""014027541X""","=""9780140275414""",0,4.10,Penguin Books,Paperback,400,1998,1996,,2018/10/28,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
5863221,How to Build a Dinosaur: Extinction Doesn't Have to Be Forever,Jack Horner,"Horner, Jack",James Gorman,"=""0525951040""","=""9780525951049""",0,3.77,Dutton Adult,Hardcover,246,2009,2009,,2018/10/26,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
36678039,Een Idea verschijnt (De moord op Commendatore #1),Haruki Murakami,"Murakami, Haruki","Elbrich Fennema, Luk Van Haute","=""""","=""9789025451349""",5,3.99,Atlas Contact,Hardcover,507,2017,2017,2018/04/08,2018/04/02,novels,novels (#72),read,I really missed reading a new book of Murakami. Looking forward to part two!,,,1,,,0,,,,,
