"Year","Locale","Fatal_crashes","Fatalities","Incapacitating_crashes","Incapacitating_injuries","NonIncapacitating_crashes","NonIncapacitating_injuries","PossibleInjury_crashes","Possible_injuries","NonInjury_crashes","NonInjuries","UnknownSeverity_crashes","Unknown_injuries","Total_crashes","srce"
"2006","Austin",53,62,NA,NA,NA,NA,NA,NA,4674,NA,473,NA,12695,"Annual report"
"2007","Austin",57,58,NA,NA,NA,NA,NA,NA,4997,NA,524,NA,13284,"Annual report"
"2008","Austin",57,59,NA,NA,NA,NA,NA,NA,5922,NA,574,NA,13484,"Annual report"
"2009","Austin",63,65,NA,NA,NA,NA,NA,NA,5590,NA,584,NA,12530,"Annual report"
"2010","Austin",49,51,363,439,2821,3993,2758,5001,5344,21885,348,1526,11683,"Annual report"
"2010","Austin",49,51,365,441,2936,4127,2867,5153,6236,24135,446,1826,12915,"CRIS"
"2011","Austin",49,55,401,501,2937,4055,2969,5120,5118,21506,348,1542,11822,"Annual report"
"2011","Austin",50,56,416,518,3099,4235,3079,5256,6056,23909,424,1800,13155,"CRIS"
"2012","Austin",72,75,450,525,3394,4714,3305,5890,5796,24417,439,1866,13456,"Annual report"
"2012","Austin",75,78,480,562,3576,4937,3442,6048,6884,27036,527,2166,15006,"CRIS"
"2013","Austin",70,73,461,556,3432,4630,3106,5238,5647,24017,338,1567,13054,"Annual report"
"2013","Austin",70,73,479,575,3584,4799,3222,5388,7155,27697,417,1853,14963,"CRIS"
"2014","Austin",54,58,398,452,3117,4236,3061,5148,5083,22492,242,1141,11955,"Annual report"
"2014","Austin",56,60,368,418,2987,4043,2920,4887,6948,26444,302,1379,13632,"CRIS"
"2015","Austin",59,61,245,286,1758,2416,1861,2976,4545,16627,235,1080,8756,"CRIS"
"2003","Travis County",85,92,NA,NA,NA,NA,NA,NA,3752,NA,456,NA,11240,"Annual report"
"2004","Travis County",108,114,NA,NA,NA,NA,NA,NA,3832,NA,406,NA,11346,"Annual report"
"2005","Travis County",87,95,NA,NA,NA,NA,NA,NA,5587,NA,590,NA,14343,"Annual report"
"2006","Travis County",91,104,NA,NA,NA,NA,NA,NA,6452,NA,631,NA,15730,"Annual report"
"2007","Travis County",88,94,NA,NA,NA,NA,NA,NA,6891,NA,703,NA,16432,"Annual report"
"2008","Travis County",90,94,NA,NA,NA,NA,NA,NA,7728,NA,784,NA,16424,"Annual report"
"2009","Travis County",92,95,NA,NA,NA,NA,NA,NA,7381,NA,739,NA,15241,"Annual report"
"2010","Travis County",75,82,486,598,3089,4322,3081,5461,6908,26408,460,1779,14099,"Annual report"
"2010","Travis County",75,82,493,605,3196,4441,3184,5604,7981,29064,570,2131,15532,"CRIS"
"2011","Travis County",75,86,501,624,3234,4423,3299,5561,6670,26104,479,1717,14258,"Annual report"
"2011","Travis County",77,88,512,636,3366,4576,3407,5694,7743,28788,532,1997,15712,"CRIS"
"2012","Travis County",100,105,608,735,3747,5236,3714,6436,7422,29442,586,2094,16177,"Annual report"
"2012","Travis County",104,109,636,765,3916,5434,3835,6597,8700,32605,682,2469,17947,"CRIS"
"2013","Travis County",103,112,613,748,3814,5185,3563,5919,7543,29467,470,1792,16106,"Annual report"
"2013","Travis County",105,114,630,770,3949,5335,3674,6050,9202,33459,546,2130,18163,"CRIS"
"2014","Travis County",86,93,551,648,3524,4810,3635,5995,7238,28964,381,1431,15415,"Annual report"
"2014","Travis County",89,96,568,666,3646,4950,3725,6115,9779,35445,459,1861,18358,"CRIS"
"2015","Travis County",73,77,325,392,1959,2689,2134,3392,5759,20159,290,1256,10622,"CRIS"
