SCHOOL,Q1 - YES,Q1 - NO,Q1 - PERCENT YES,Q1 - PERCENT NO,Q1 - TOTAL,Q2 - NO,Q2 - YES,Q2 - ONLY INDOORS,Q2 - PERCENT NO,Q2 - PERCENT YES,Q2 - INDOORS,Q2 - TOTAL
Akins,559,123,82%,18%,682,137,200,201,25%,37%,37%,538
Allison,87,10,90%,10%,97,7,48,28,8%,58%,34%,83
Alternative Learning Center (ALC),4,0,100%,0%,4,0,2,2,0%,50%,50%,4
Anderson,713,388,65%,35%,1101,264,159,264,38%,23%,38%,687
Andrews,53,5,91%,9%,58,0,35,18,0%,66%,34%,53
Ann Richards,362,27,93%,7%,389,90,134,136,25%,37%,38%,360
Austin,962,423,69%,31%,1385,275,250,391,30%,27%,43%,916
Bailey,296,96,76%,24%,392,77,77,133,27%,27%,46%,287
Baldwin,237,96,71%,29%,333,28,88,116,12%,38%,50%,232
Baranoff,359,105,77%,23%,464,35,120,195,10%,34%,56%,350
Barrington,55,3,95%,5%,58,3,33,19,5%,60%,35%,55
Barton Hills,188,29,87%,13%,217,10,82,93,5%,44%,50%,185
Bear Creek,266,89,75%,25%,355,23,119,119,9%,46%,46%,261
Becker,228,32,88%,12%,260,7,97,119,3%,43%,53%,223
Bedichek,118,8,94%,6%,126,17,55,41,15%,49%,36%,113
Blackshear,126,11,92%,8%,137,4,62,58,3%,50%,47%,124
Blanton,287,35,89%,11%,322,14,131,135,5%,47%,48%,280
Blazier,244,36,87%,13%,280,20,112,106,8%,47%,45%,238
Boone,164,38,81%,19%,202,17,80,62,11%,50%,39%,159
Bowie,960,635,60%,40%,1595,376,198,349,41%,21%,38%,923
Brentwood,280,32,90%,10%,312,15,128,134,5%,46%,48%,277
Brown,46,8,85%,15%,54,0,20,26,0%,43%,57%,46
Bryker Woods,148,44,77%,23%,192,6,67,68,4%,48%,48%,141
Burnet,109,7,94%,6%,116,11,54,40,10%,51%,38%,105
Campbell,29,4,88%,12%,33,3,10,15,11%,36%,54%,28
Casey,150,28,84%,16%,178,12,55,81,8%,37%,55%,148
Casis,278,197,59%,41%,475,35,69,171,13%,25%,62%,275
Clayton,339,116,75%,25%,455,28,141,159,9%,43%,48%,328
Clifton,1,0,100%,0%,1,0,0,1,0%,0%,100%,1
Cook,73,6,92%,8%,79,3,47,19,4%,68%,28%,69
Covington,244,41,86%,14%,285,42,86,108,18%,36%,46%,236
Cowan,239,50,83%,17%,289,23,101,110,10%,43%,47%,234
Crockett,358,61,85%,15%,419,106,128,116,30%,37%,33%,350
Cunningham,110,16,87%,13%,126,11,49,48,10%,45%,44%,108
Davis,275,60,82%,18%,335,20,119,130,7%,44%,48%,269
Dawson,54,17,76%,24%,71,2,24,28,4%,44%,52%,54
Dobie,84,7,92%,8%,91,5,52,25,6%,63%,30%,82
Doss,395,127,76%,24%,522,34,162,191,9%,42%,49%,387
Eastside Memorial,89,7,93%,7%,96,13,40,31,15%,48%,37%,84
Galindo,72,9,89%,11%,81,3,29,36,4%,43%,53%,68
Garza,15,8,65%,35%,23,7,1,7,47%,7%,47%,15
Gorzycki,488,253,66%,34%,741,130,132,207,28%,28%,44%,469
Govalle,74,7,91%,9%,81,7,34,33,9%,46%,45%,74
Graham,108,11,91%,9%,119,8,51,48,7%,48%,45%,107
Guerrero Thompson,84,6,93%,7%,90,8,47,27,10%,57%,33%,82
Gullett,302,51,86%,14%,353,20,129,142,7%,44%,49%,291
