crash_id,crash_fatal_fl,crash_date_x,crash_time_x,case_id,rpt_street_pfx,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,street_name,street_name_2,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,atd_mode_category_metadata,motor_vehicle_fl,point,apd_confirmed_fatality,apd_confirmed_death_count,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,:@computed_region_8spj_utxs,:@computed_region_jcrc_4uuy,pedestrian_death_count,pedestrian_serious_injury_count,:@computed_region_q9nd_rr82,:@computed_region_e9j2_6w3z,motorcycle_death_count,:@computed_region_m2th_e4b7,motorcycle_serious_injury_count,other_death_count,:@computed_region_rxpj_nzrk,other_serious_injury_count,onsys_fl,private_dr_fl,rpt_block_num,street_nbr,contrib_factr_p1_id,contrib_factr_p2_id,pedestrian_fl,bicycle_fl,other_fl,rpt_latitude,rpt_longitude,motorcycle_fl,person_id,prsn_injry_sev_id,prsn_age,prsn_gndr_id,prsn_ethnicity_id,crash_date_y,crash_time_y,mode_desc,mode_id,timestamp,Month,Year,Year-Month,hour,dayofweek
11185629,N,2010-01-27T18:52:00.000,18:52:00,2010-271762,S,SOUTH INTERSTATE HIGHWAY 35 SB SERVICE RD,RD,55,N,30.14654945,-97.79372262,IH0035,N/A,1,1,3,0,0,0,4,0,Large passenger vehicle & Large passenger vehicle,"[{""mode_id"": 2, ""mode_desc"": ""Large passenger vehicle"", ""unit_id"": 2115189, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 2, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 3}, {""mode_id"": 2, ""mode_desc"": ""Large passenger vehicle"", ""unit_id"": 2115190, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 0, ""nonincap_injry_cnt"": 1, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 1}]",Y,"{'type': 'Point', 'coordinates': [-97.79372262, 30.14654945]}",N,0,0,1,0,0,5,37,0,0,1,,0,484,0,0,22,0,Y,N,10700,,,,,,,30.14667,-97.79405,,P573661,Serious Injury,4,Male,Unkown,2010-01-27T18:52:00.000,18:52:00,Large passenger vehicle,2,1/27/2010 18:52,1,2010,2010-01,18,2
11276317,N,2010-03-29T21:16:00.000,21:16:00,10-0881861,E,MARTIN LUTHER KING,BLVD,45,N,30.28290562,-97.70174575,FM0969,TILLERY ST,1,1,0,2,0,0,3,0,Passenger car,"[{""mode_id"": 1, ""mode_desc"": ""Passenger car"", ""unit_id"": 2118479, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 2, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 3}]",Y,"{'type': 'Point', 'coordinates': [-97.70174575, 30.28290562]}",N,0,0,1,0,0,1,7,0,0,8,67,0,309,0,0,62,0,Y,N,3200,3301,48,,,,,,,,P574949,Serious Injury,3,Male,Black,2010-03-29T21:16:00.000,21:16:00,Passenger car,1,3/29/2010 21:16,3,2010,2010-03,21,0
11359761,N,2010-04-21T18:14:00.000,18:14:00,10-1111559,,MONTOPOLIS,DR,35,N,30.23456478,-97.69734248,MONTOPOLIS DR,HOGAN AVE,1,1,0,1,5,0,2,0,Passenger car & Passenger car & Passenger car,"[{""mode_id"": 1, ""mode_desc"": ""Passenger car"", ""unit_id"": 2122044, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 0, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 1, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 1}, {""mode_id"": 1, ""mode_desc"": ""Passenger car"", ""unit_id"": 2122043, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 4, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 1}, {""mode_id"": 1, ""mode_desc"": ""Passenger car"", ""unit_id"": 2122051, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 0, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 1, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 0}]",Y,"{'type': 'Point', 'coordinates': [-97.69734248, 30.23456478]}",N,0,0,1,0,0,3,8,0,0,3,46,0,114,0,0,55,0,N,N,1000,915,,,,,,,,,P576431,Serious Injury,13,Male,Hispanic,2010-04-21T18:14:00.000,18:14:00,Passenger car,1,4/21/2010 18:14,4,2010,2010-04,18,2
11376811,N,2010-05-09T20:08:00.000,20:08:00,101292772,N,IH 35 PROPER NB,HWY,65,N,30.14157242,-97.79552414,IH0035,N/A,1,1,0,7,0,0,8,0,Large passenger vehicle,"[{""mode_id"": 2, ""mode_desc"": ""Large passenger vehicle"", ""unit_id"": 2123366, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 7, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 8}]",Y,"{'type': 'Point', 'coordinates': [-97.79552414, 30.14157242]}",N,0,0,1,0,0,5,37,0,0,1,,0,484,0,0,22,0,Y,N,11900,,,,,,,,,,P576993,Serious Injury,11,Male,White,2010-05-09T20:08:00.000,20:08:00,Large passenger vehicle,2,5/9/2010 20:08,5,2010,2010-05,20,6
11418711,N,2010-05-31T02:47:00.000,2:47:00,101510286,N,CUMBERLAND,RD,25,N,30.23909479,-97.76456246,CUMBERLAND RD,OAK CREST AVE,1,1,0,1,0,1,2,0,Large passenger vehicle & Large passenger vehicle,"[{""mode_id"": 2, ""mode_desc"": ""Large passenger vehicle"", ""unit_id"": 2125307, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 0, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 1, ""tot_injry_cnt"": 0}, {""mode_id"": 2, ""mode_desc"": ""Large passenger vehicle"", ""unit_id"": 2125305, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 1, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 2}]",Y,"{'type': 'Point', 'coordinates': [-97.76456246, 30.23909479]}",N,0,0,1,0,0,3,9,0,0,3,85,0,64,0,0,75,0,N,N,800,804,45,,,,,,,,P577740,Serious Injury,15,Female,Hispanic,2010-05-31T02:47:00.000,2:47:00,Large passenger vehicle,2,5/31/2010 2:47,5,2010,2010-05,2,0
11432524,N,2010-01-08T20:23:00.000,20:23:00,100081890,,LOYOLA,LN,35,N,30.30018477,-97.64825249,LOYOLA LN,JOHNNY MORRIS RD,1,1,2,0,2,0,3,0,Passenger car & Large passenger vehicle,"[{""mode_id"": 1, ""mode_desc"": ""Passenger car"", ""unit_id"": 2125927, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 1, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 2}, {""mode_id"": 2, ""mode_desc"": ""Large passenger vehicle"", ""unit_id"": 2125928, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 0, ""nonincap_injry_cnt"": 1, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 2, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 1}]",Y,"{'type': 'Point', 'coordinates': [-97.64825249, 30.30018477]}",N,0,0,1,0,0,1,46,0,0,8,,0,309,0,0,8,0,N,N,6500,,,,,,,,,,P577984,Serious Injury,15,Male,Hispanic,2010-01-08T20:23:00.000,20:23:00,Passenger car,1,1/8/2010 20:23,1,2010,2010-01,20,4
11470850,N,2010-06-28T13:15:00.000,13:15:00,101791030,,DESSAU,RD,55,N,30.38030008,-97.65307987,DESSAU RD,N/A,1,3,0,0,1,0,3,0,Passenger car & Large passenger vehicle,"[{""mode_id"": 1, ""mode_desc"": ""Passenger car"", ""unit_id"": 2128681, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 2, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 2}, {""mode_id"": 2, ""mode_desc"": ""Large passenger vehicle"", ""unit_id"": 2128682, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 1, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 1}]",Y,"{'type': 'Point', 'coordinates': [-97.65307987, 30.38030008]}",N,0,0,3,0,0,1,50,0,0,8,,0,217,0,0,77,0,N,N,12000,12006,,,,,,,,,P579191,Serious Injury,14,Female,Black,2010-06-28T13:15:00.000,13:15:00,Passenger car,1,6/28/2010 13:15,6,2010,2010-06,13,0
11630126,N,2010-01-18T21:25:00.000,21:25:00,100181908,E,HOWARD,LN,0,N,30.41378748,-97.65360563,E HOWARD LN,N/A,1,1,0,0,4,0,1,0,Large passenger vehicle & Passenger car,"[{""mode_id"": 2, ""mode_desc"": ""Large passenger vehicle"", ""unit_id"": 2138673, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 0, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 1, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 0}, {""mode_id"": 1, ""mode_desc"": ""Passenger car"", ""unit_id"": 2138662, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 3, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 1}]",Y,"{'type': 'Point', 'coordinates': [-97.65360563, 30.41378748]}",N,0,0,1,0,0,7,47,0,0,7,,0,540,0,0,39,0,N,N,600,600,,,,,,,,,P583588,Serious Injury,2,Female,Black,2010-01-18T21:25:00.000,21:25:00,Passenger car,1,1/18/2010 21:25,1,2010,2010-01,21,0
11738254,N,2010-11-13T10:46:00.000,10:46:00,10-3170936,W,PARMER,LN,50,N,30.42492337,-97.713906,FM0734,SL0001,1,3,3,0,0,0,6,0,Motorcycle & Large passenger vehicle & Large passenger vehicle,"[{""mode_id"": 3, ""mode_desc"": ""Motorcycle"", ""unit_id"": 2146167, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 1}, {""mode_id"": 2, ""mode_desc"": ""Large passenger vehicle"", ""unit_id"": 2146170, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 2, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 2}, {""mode_id"": 2, ""mode_desc"": ""Large passenger vehicle"", ""unit_id"": 2146168, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 0, ""nonincap_injry_cnt"": 3, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 3}]",Y,"{'type': 'Point', 'coordinates': [-97.713906, 30.42492337]}",N,0,0,2,0,0,7,24,0,0,7,,0,540,1,0,36,0,Y,N,3800,3924,,,,,,,,Y,P586863,Serious Injury,6,Male,White,2010-11-13T10:46:00.000,10:46:00,Large passenger vehicle,2,11/13/2010 10:46,11,2010,2010-11,10,5
11794531,N,2010-11-25T17:42:00.000,17:42:00,103291097,E,PARMER,LN,0,N,30.40231987,-97.65734818,FM0734,IH0035,1,2,1,0,0,0,3,0,Passenger car & Passenger car,"[{""mode_id"": 1, ""mode_desc"": ""Passenger car"", ""unit_id"": 2149809, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 0, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 1}, {""mode_id"": 1, ""mode_desc"": ""Passenger car"", ""unit_id"": 2149812, ""death_cnt"": 0, ""sus_serious_injry_cnt"": 1, ""nonincap_injry_cnt"": 1, ""poss_injry_cnt"": 0, ""non_injry_cnt"": 0, ""unkn_injry_cnt"": 0, ""tot_injry_cnt"": 2}]",Y,"{'type': 'Point', 'coordinates': [-97.65734818, 30.40231987]}",N,0,0,2,0,0,7,47,0,0,7,,0,540,0,0,78,0,Y,N,800,800,,,,,,,,,P588429,Serious Injury,7,Female,Asian,2010-11-25T17:42:00.000,17:42:00,Passenger car,1,11/25/2010 17:42,11,2010,2010-11,17,3
