route,Free Flow Speed,2019 Peak Hour Mean Speed,2019 Peak Hour 5th Speed,2019 Speed Ratio,2019 BTI,2020 Peak Hour Mean Speed,2020 Peak Hour 5th Speed,2020 Speed Ratio,2020 BTI,2021 Peak Hour Mean Speed,2021 Peak Hour 5th Speed,2021 Speed Ratio,2021 BTI,2019 Congested,2019 Reliability,2020 Congested,2020 Reliability,2021 Congested,2021 Reliability
51st_manor$51st_mueller,26.195945945945947,22.342105263157894,15.0,0.8528840802030869,0.48947368421052634,23.431168831168833,16.0,0.8944578248679358,0.46444805194805217,23.166666666666668,16.0,0.8843607600378299,0.44791666666666674,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
51st_manor$51st_springdale,31.26246719160105,30.171473518615628,18.0,0.965102124976287,0.6761929732564238,30.57210242587601,19.0,0.977917137457708,0.6090580224145269,29.550274223034734,19.0,0.9452316748363894,0.5552775906860385,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
51st_mueller$51st_manor,30.251012145748987,21.942067736185383,11.0,0.7253333419215457,0.9947334305623076,25.890173410404625,20.0,0.8558448651458702,0.29450867052023116,26.03676470588235,18.0,0.8606906962463786,0.4464869281045753,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
51st_springdale$51st_manor,33.0855614973262,27.747417840375586,18.0,0.8386563982786867,0.5415232133541992,29.008955223880598,20.0,0.8767859425999146,0.4504477611940298,27.534375,19.0,0.8322172498787781,0.4491776315789476,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
51st_springdale$springdale_manor,37.36678200692042,34.31554054054054,26.0,0.9183434777494411,0.31982848232848216,32.90731707317073,23.0,0.8806569713997908,0.4307529162248143,33.4006309148265,25.8,0.8938589067862633,0.29459809747389554,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
51st_springdale$springdale_mlk,35.40151515151515,22.365055079559365,9.350000000000023,0.6317541772954925,1.391984500487627,28.672370407649723,18.0,0.8099193010506663,0.5929094670916514,26.978063540090773,18.0,0.7620595735698656,0.4987813077828208,Not Congested,Moderately Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
6th_ih35$congress_6th,13.326732673267326,13.293370944992947,8.0,0.9974966310878809,0.6616713681241183,,,,,,,,,Not Congested,Reliable Travel Time,,,,
7th_chicon$7th_plesant_valley,31.941176470588236,19.873549419767908,12.0,0.6221921549466932,0.6561291183139923,20.673647469458988,13.0,0.6472412651580162,0.5902805745737683,20.972103004291846,13.0,0.6565851769299473,0.613238692637834,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
7th_chicon$7th_springdale,27.666666666666668,30.46164199192463,11.0,1.1010232045273962,1.769240181084057,27.932166301969364,7.0,1.0095963723603385,2.990309471709909,30.130841121495326,9.0,1.089066546560072,2.347871235721703,Not Congested,Unreliable Travel Time,Not Congested,Unreliable Travel Time,Not Congested,Unreliable Travel Time
7th_plesant_valley$7th_chicon,29.191256830601095,21.423801369863014,13.0,0.7339115781888678,0.6479847207586932,22.04854368932039,15.0,0.7553132712739856,0.4699029126213594,20.75197889182058,13.0,0.7108970679901098,0.596306068601583,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
7th_plesant_valley$7th_springdale,36.97415329768271,34.11909448818898,23.349999999999994,0.9227823072375083,0.46120319007233346,33.09018264840183,20.0,0.8949544397133145,0.6545091324200915,33.27095199349064,20.0,0.8998435129973845,0.663547599674532,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
7th_springdale$7th_chicon,40.51282051282051,38.403225806451616,19.75,0.9479277256022868,0.9444671294405882,36.59177215189873,18.75,0.9032146290658548,0.9515611814345991,37.98443579766537,27.8,0.9375905038664237,0.3663466114268119,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
7th_springdale$7th_plesant_valley,33.46468401486989,30.253433208489387,17.0,0.9040406057635687,0.7796137181464345,27.71992110453649,17.0,0.8283335677760848,0.6305835943844994,28.854030501089326,17.0,0.8622233064644556,0.697295911828784,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
Lamar_Blue_Bonnet$Lamar_and_Manchca_Barton_skyway,35.44599109131403,18.285255005114717,10.0,0.5158624273760393,0.8285255005114717,23.31141975308642,12.0,0.6576602610160571,0.9426183127572014,20.87772397094431,12.0,0.5890009935724538,0.7398103309120257,Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Congested,Reliable Travel Time
Lamar_Blue_Bonnet$kinney_lamar,31.25,19.788819875776397,12.0,0.6332422360248448,0.6490683229813664,,,,,,,,,Not Congested,Reliable Travel Time,,,,
Lamar_Blue_Bonnet$lamar_oltorf,36.254777070063696,22.051441932969603,12.0,0.6082354855017968,0.8376201610808003,26.87953667953668,16.0,0.7414067566210926,0.6799710424710426,25.84825870646766,15.0,0.7129614576450145,0.7232172470978441,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
Lamar_BrodieOaks$Lamar_and_Manchca_Barton_skyway,35.57276995305164,31.523037228160707,20.0,0.8861563850598166,0.5761518614080353,33.923611111111114,22.0,0.9536398530640976,0.5419823232323233,,,,,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,,
Lamar_BrodieOaks$lamar_24th,39.0,15.157142857142857,7.45,0.38864468864468865,1.0345158197507187,17.77777777777778,6.2,0.45584045584045585,1.867383512544803,,,,,Congested,Reliable Travel Time,Congested,Unreliable Travel Time,,
Lamar_BrodieOaks$lamar_lamar_square,30.285714285714285,22.970037453183522,14.0,0.7584446328881352,0.6407169609416801,25.9811320754717,13.0,0.8578675685297259,0.9985486211901305,,,,,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,,
Lamar_BrodieOaks$lamar_oltorf,32.583333333333336,23.477564102564102,17.0,0.7205390517410977,0.38103318250377066,27.70756646216769,18.400000000000002,0.8503600960256068,0.5058460033786789,,,,,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,,
Lamar_and_Manchca_Barton_skyway$Lamar_Blue_Bonnet,32.293739967897274,22.603831679781045,12.0,0.6999446859438138,0.8836526399817537,27.15025106218617,14.0,0.8407279890522383,0.9393036472990122,25.748137108792847,13.0,0.797310473620853,0.9806259314456035,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
