Day,Deaths,Day of Week,Date
181,10,1,8/2/2020
182,10,2,8/3/2020
183,9,3,8/4/2020
184,9.5,4,8/5/2020
185,9,5,8/6/2020
186,9,6,8/7/2020
187,9,7,8/8/2020
188,8,1,8/9/2020
189,8,2,8/10/2020
190,7,3,8/11/2020
191,7,4,8/12/2020
192,7,5,8/13/2020
193,7,6,8/14/2020
194,6,7,8/15/2020
195,6,1,8/16/2020
196,5,2,8/17/2020
197,5,3,8/18/2020
198,5,4,8/19/2020
199,5,5,8/20/2020
200,4,6,8/21/2020
201,4,7,8/22/2020
202,4,1,8/23/2020
203,4,2,8/24/2020
204,4,3,8/25/2020
205,3,4,8/26/2020
206,3,5,8/27/2020
207,3,6,8/28/2020
208,3,7,8/29/2020
