Weeknum,Week of,Avg Volume,Residential Score Avg,Deaths,Cases,Search
9,2/23/2020,373426.714,-1.571428571,0,0,17
10,3/1/2020,369719.143,-0.571428571,0,0,33
11,3/8/2020,309549.286,1.285714286,0,4,71
12,3/15/2020,244234.714,15.42857143,0,58,100
13,3/22/2020,199118.571,21.85714286,1,98,71
14,3/29/2020,180585.571,24.57142857,5,270,53
15,4/5/2020,185337.429,24,3,260,51
16,4/12/2020,195646.714,23.28571429,14,402,40
17,4/19/2020,200059.714,22.42857143,13,304,30
18,4/26/2020,211862.143,20,15,318,19
19,5/3/2020,200786,19.28571429,9,381,16
20,5/10/2020,234797.429,19,17,330,15
21,5/17/2020,256512,17.28571429,6,363,12
22,5/24/2020,251607.143,17.28571429,10,444,10
23,5/31/2020,267138.429,15.28571429,4,430,8
24,6/7/2020,278996.143,14.42857143,7,799,10
25,6/14/2020,273932,14.28571429,5,1243,12
26,6/21/2020,256641,15.71428571,8,2121,14
27,6/28/2020,250498.6,16.28571429,19,3306,14
28,7/5/2020,251743.3,16.42857143,32,3491,13
29,7/12/2020,258881.3,16,35,2832,12
30,7/19/2020,255637.6,15.57142857,38,1947,9
31,7/26/2020,246442.4,15,35,1566,7
32,8/2/2020,250817.3,14.42857143,22,1635,6
33,8/9/2020,245658.7143,14.42857143,37,1406,6
34,8/16/2020,253741.1429,14.42857143,22,1632,4
