UniProt ID,Protein name,Mass (Da),Log2 FC,P-adjusted values
P08735,"Glyceraldehyde-3-phosphate dehydrogenase 1, cytosolic OS=Zea mays GN=GAPC1 ",531.82,0.9967,0.0294
P08735,"Glyceraldehyde-3-phosphate dehydrogenase 1, cytosolic OS=Zea mays GN=GAPC1",532.31,1.4255,0.0260
P08735,"Glyceraldehyde-3-phosphate dehydrogenase 1, cytosolic OS=Zea mays GN=GAPC1 ",1009.48,1.4541,0.0119
P08735,"Glyceraldehyde-3-phosphate dehydrogenase 1, cytosolic OS=Zea mays GN=GAPC1 ",616.87,1.6955,0.0431
P08735,"Glyceraldehyde-3-phosphate dehydrogenase 1, cytosolic OS=Zea mays GN=GAPC1 ",548.33,1.8528,0.0119
P08735,"Glyceraldehyde-3-phosphate dehydrogenase 1, cytosolic OS=Zea mays GN=GAPC1 ",615.88,2.0534,0.0113
P08440,"Fructose-bisphosphate aldolase, cytoplasmic isozyme OS=Zea mays ",803.46,1.0716,0.0117
P08440,"Fructose-bisphosphate aldolase, cytoplasmic isozyme OS=Zea mays ",645.41,1.4850,0.0318
P08440,"Fructose-bisphosphate aldolase, cytoplasmic isozyme OS=Zea mays",655.06,1.6325,0.0465
P08440,"Fructose-bisphosphate aldolase, cytoplasmic isozyme OS=Zea mays ",664.42,1.9738,0.0350
P08440,"Fructose-bisphosphate aldolase, cytoplasmic isozyme OS=Zea mays ",649.71,2.4956,0.0163
B4FAD9,Uncharacterized protein OS=Zea mays GN=csu815 ,597.86,0.8756,0.0124
B4FAD9,Uncharacterized protein OS=Zea mays GN=csu815 ,641.35,0.9842,0.0053
B4FAD9,Uncharacterized protein OS=Zea mays GN=csu815 ,534.84,1.1483,0.0379
B4FAD9,Uncharacterized protein OS=Zea mays GN=csu815 ,856.15,1.3991,0.0159
B4FWP0,Fructose-bisphosphate aldolase OS=Zea mays GN=LOC100283676 ,802.96,0.8914,0.0231
B4FWP0,Fructose-bisphosphate aldolase OS=Zea mays GN=LOC100283676,803.46,1.2777,0.0401
B4FWP0,Fructose-bisphosphate aldolase OS=Zea mays GN=LOC100283676 ,655.06,1.6325,0.0465
B4FWP0,Fructose-bisphosphate aldolase OS=Zea mays GN=LOC100283676 ,654.73,1.9031,0.0247
P15590,Globulin-1 S allele OS=Zea mays GN=GLB1 ,394.56,-1.4287,0.0006
P15590,Globulin-1 S allele OS=Zea mays GN=GLB1 ,599.36,-0.7400,0.0040
P15590,Globulin-1 S allele OS=Zea mays GN=GLB1 ,482.95,-0.7080,0.0490
P15590,Globulin-1 S allele OS=Zea mays GN=GLB1 ,497.92,-0.7022,0.0008
Q7M1Z8,Globulin-2 OS=Zea mays GN=Zm.3896 ,823.46,-0.9408,0.0001
Q7M1Z8,Globulin-2 OS=Zea mays GN=Zm.3896 ,722.35,-0.5861,0.0247
Q7M1Z8,Globulin-2 OS=Zea mays GN=Zm.3896 ,661.31,1.0405,0.0423
Q7M1Z8,Globulin-2 OS=Zea mays GN=Zm.3896 ,395.48,2.0333,0.0307
B4FUK7,Uncharacterized protein OS=Zea mays GN=LOC100275372,588.37,0.9871,0.0479
B4FUK7,Uncharacterized protein OS=Zea mays GN=LOC100275372 ,588.37,0.9871,0.0479
B4FUK7,Uncharacterized protein OS=Zea mays GN=LOC100275372 ,698.87,1.2161,0.0312
B4G0K5,Uncharacterized protein OS=Zea mays GN=LOC100274379 ,603.33,-1.4245,0.0001
B4G0K5,Uncharacterized protein OS=Zea mays GN=LOC100274379 ,647.30,1.1080,0.0174
