P00395,COG0843,NA,HBG003841,FHGLASM,K02256
P24893,A9RAH7,,O03515,Q9ZZ64,Q34388
ENSCAFP00000030311,Q0H8X8,,Q599A1,P48888,Q0H8X7
O21042,A9RAH6,,P41293,P48659,A9RAH7
Q9MIY8,Q9TGM4,,P24983,P00395,Q6DN58
ENSMODP00000026933,Q9YDX6,,Q6EMS9,O03167,Q0H8X8
ENSPTRP00000047188,P98005,,Q5Y4Q8,Q9TA27,A9RAH6
P05503,P98057,,P00396,Q9T9W1,Q0H8Y0
P00401,Q5YRP8,,Q94WR7,O79876,Q0H8X9
Q9ZZX1,Q82AK9,,Q9ZZ64,O79429,Q0H8Y2
P07657,Q5Z0K2,,Q1HKA1,O78749,Q0H8Y1
P31833,Q9X813,,O78681,D4GUY6,Q0H8Y3
Q97UN0,Q9K451,,O03521,C7NWS3,B0FWC7
P00399,Q828X4,,O03198,Q5V2N6,P34838
Q85AA8,P60620,,P18943,U5YWV7,P60620
B0R3V8,P62514,,O99041,C8YAE4,P62514
P00397,P24010,,P24984,Q49RY7,P24794
ENSOANP00000024995,P00396,,Q6EGJ1,A5JFJ8,P24893
ENSTRUP00000047831,P31833,,Q6EGJ0,Q6QTG9,Q9ZZ64
ENSMMUP00000031382,P24893,,P24985,G3SHV8,Q85QA3
ENSBTAP00000053147,P0C8K9,,Q9MIY8,Q5MA75,P08681
E5DEI3,Q9ZZ64,,O21327,A5JYA3,P48866
A6UXP2,P18943,,P41310,E2F7B3,P18943
P00395,Q6NFM3,,O03524,Q71KK5,O21042
,Q79VD7,,Q2I3H2,B9ZUU9,A9RAH5
,Q9MIY8,,P92477,Q65CJ1,P00400
,P00399,,Q8W9N4,H9KUX4,P00399
,P33518,,P48888,V9PA74,Q34391
,P00395,,P34188,E3T1V7,P48888
,P20386,,Q36775,B7XBM4,P48659
,P00397,,Q6EGH9,V5KWX3,Q9MIY8
,Q9CBQ5,,Q6EGH8,T1M0X5,P00395
,Q73VC3,,P38595,Q9ZZQ5,O03167
,P63853,,Q9ZZY9,Q1QHV6,P20386
,Q36452,,P48659,Q3SUL4,P14578
,P14578,,P00395,Q8YFQ5,Q36452
,Q9T9W1,,Q7GEN7,Q9FD41,Q9T9W1
,O79876,,Q34800,Q5HAA7,O79876
,P05503,,O03167,Q8G263,Q9T9X0
,Q1RI42,,Q8LX30,D5BSW5,P20681
,Q92I67,,Q9TA27,E4WJT1,O79429
,Q4ULU5,,Q38PS0,A5II82,P92692
,O54069,,O79548,Q7VT14,P07657
,P07657,,P00397,E6RL32,O78749
,P15544,,P92661,Q3IJR9,P07506
,Q06473,,O21079,A4Z2D3,P15544
,Q4JQI5,,O03539,A9VZ57,P05502
,Q4UJ69,,P48170,B2JCA6,A6H4Q6
,Q5SJ79,,Q36452,C7LGG3,P00401
,A6H4Q6,,Q6EGI5,Q146A9,Q9B6E7
,Q9B6E7,,Q6EGI2,C6WI99,Q0H8Y4
,P00401,,Q6EGI3,A7HEB5,P00398
,P98000,,Q6EGI4,Q12E45,F7WD41
,P57543,,Q9T9X0,Q2IR90,K5WU26
,Q8K994,,Q9T9W1,B0CKF3,Q3HM77
,Q89AA4,,Q6EGI0,Q57EP9,A7UG06
,P0ABJ0,,Q9ZXY2,C6V5A3,W6YVB1
,P0ABI8,,O79672,Q92RG9,G1DJA5
,Q9I426,,Q35536,G0A3Q7,Q9GAT2
,P34956,,Q00527,C0RHH5,C9SZA6
,Q2FZK0,,O79876,B9JT25,H9D0P5
,Q2YX15,,Q95911,Q476I6,Q9B6E6
,Q2FI18,,P92692,D1ABA1,Q9B6E5
,Q5HH24,,O79429,C3MHJ2,D6RR50
,Q99V37,,O03546,D5VHE6,A5J060
,Q7A699,,P05503,Q11KD3,A5J063
,Q6GI24,,Q96062,B3PKV9,A5J066
,Q6GAF3,,Q9ZZM6,Q2YCM9,A5J062
,Q7A182,,O79403,Q9A300,A5J065
,Q5HQB0,,O78749,K0D9W3,A5J057
,Q8CPP7,,Q9ZZ52,O67935,A5J068
,Q4L564,,O21399,Q5P9Y9,A5J056
,Q49WI3,,Q4JQI5,A9M8Z2,A5J061
,P98004,,O03554,B5ZSV1,A5J069
,P39481,,P00398,I3TPG3,A5J058
,P03877,,Q6EGH7,A4VS35,A5J067
,Q9ZZX1,,Q4VFI9,Q28SZ5,A5J064
